Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,5a3,5b3,True,True,0.392656662738626,3.0,two-sided,0.7208094791053699,0.9929615532608393,fdr_bh,0.456,0.32115876617852146,-0.7546401305538694,0.7827719983790568
condition,5a3,5c3,True,True,-0.009574942732645666,3.0,two-sided,0.9929615532608393,0.9929615532608393,fdr_bh,0.428,-0.006679508524383754,-0.8596589900923006,0.2715897928007324
condition,5a3,5d3,True,True,-0.2757669176030379,3.0,two-sided,0.8006318024256258,0.9929615532608393,fdr_bh,0.441,-0.20787813936551905,-1.0099551311182906,0.14790704986347775
condition,5a3,5e3,True,True,-0.2341563345386973,3.0,two-sided,0.829933826537381,0.9929615532608393,fdr_bh,0.438,-0.18592249898610166,-0.7891600077167877,0.6434510238071303
condition,5b3,5c3,True,True,-0.6599509305665224,3.0,two-sided,0.5564290024292364,0.9929615532608393,fdr_bh,0.508,-0.36903984830828535,-1.0702683905141386,0.49819732440542475
condition,5b3,5d3,True,True,-1.5454449904878498,3.0,two-sided,0.21995431031199317,0.9929615532608393,fdr_bh,0.877,-0.7409889671047425,-2.2145277901057403,-0.06649997241652006
condition,5b3,5e3,True,True,-0.7727652904695156,3.0,two-sided,0.4959609828866229,0.9929615532608393,fdr_bh,0.538,-0.5452937018424733,-1.3143559258275481,0.8167494633055765
condition,5c3,5d3,True,True,-1.031271239217638,3.0,two-sided,0.3782727650155107,0.9929615532608393,fdr_bh,0.625,-0.22585529177265656,-1.031017942779537,0.05659952929173917
condition,5c3,5e3,True,True,-0.6103035077583561,3.0,two-sided,0.5847853961549814,0.9929615532608393,fdr_bh,0.496,-0.19391649249299867,-1.2056133902716752,0.515481611148926
condition,5d3,5e3,True,True,-0.052830803663490904,3.0,two-sided,0.9611878695604625,0.9929615532608393,fdr_bh,0.428,-0.02112795926766358,-0.8854057070603338,0.7876347942843971
