Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,Cardinality1,Cardinality2,True,True,-1.4049886977803652,23.0,two-sided,0.1733876526035361,0.6606608124564975,fdr_bh,0.512,-0.319174933900856,-0.7176503565037571,0.14406612251387396
condition,Cardinality1,Cardinality3,True,True,-0.5339169882269742,23.0,two-sided,0.5985219761879432,0.7808512888905361,fdr_bh,0.244,-0.1502176278240045,-0.5325003486038016,0.31452965091052487
condition,Cardinality1,Cardinality4,True,True,-0.28149047762866886,23.0,two-sided,0.7808512888905361,0.7808512888905361,fdr_bh,0.223,-0.07409848545316723,-0.48007035513082347,0.3651523488570631
condition,Cardinality1,Cardinality5,True,True,0.2870901845825137,23.0,two-sided,0.7766138376297747,0.7808512888905361,fdr_bh,0.223,0.07557722420904293,-0.36402330623467166,0.48122738329943776
condition,Cardinality1,Cardinality6,True,True,0.5206407143387993,23.0,two-sided,0.607593407339685,0.7808512888905361,fdr_bh,0.243,0.13438992662448576,-0.3171782539330322,0.5297289355077315
condition,Cardinality2,Cardinality3,True,True,0.6707530507181434,23.0,two-sided,0.5090581090534887,0.7808512888905361,fdr_bh,0.263,0.14687921830597309,-0.2873204179807858,0.5611542042598886
condition,Cardinality2,Cardinality4,True,True,1.3792516562547508,23.0,two-sided,0.1810822557975376,0.6606608124564975,fdr_bh,0.496,0.29241440560070286,-0.1490106577589243,0.7120877885443779
condition,Cardinality2,Cardinality5,True,True,1.6436767683956297,23.0,two-sided,0.11384470670498498,0.6606608124564975,fdr_bh,0.693,0.42364727243342837,-0.09846968845653298,0.7694979192292157
condition,Cardinality2,Cardinality6,True,True,1.8952661047261392,23.0,two-sided,0.0706943403842945,0.6606608124564975,fdr_bh,0.993,0.4753085715290173,-0.05090819080642883,0.8246473380349799
condition,Cardinality3,Cardinality4,True,True,0.36381305090151006,23.0,two-sided,0.7193205877001072,0.7808512888905361,fdr_bh,0.228,0.09897404224688357,-0.34858173245048624,0.4971077885294701
condition,Cardinality3,Cardinality5,True,True,1.047096545044705,23.0,two-sided,0.30593482658748095,0.7648370664687023,fdr_bh,0.351,0.23152875566933606,-0.21332069390808153,0.6407960683731997
condition,Cardinality3,Cardinality6,True,True,1.2602377851331032,23.0,two-sided,0.2202202708188325,0.6606608124564975,fdr_bh,0.434,0.28431960998414496,-0.1719469665390123,0.6864368878975668
condition,Cardinality4,Cardinality5,True,True,0.6454830471822371,23.0,two-sided,0.5250019474248371,0.7808512888905361,fdr_bh,0.259,0.16801320168318262,-0.2923329895210959,0.5558503400566491
condition,Cardinality4,Cardinality6,True,True,0.8028562803798511,23.0,two-sided,0.43027662877213013,0.7808512888905361,fdr_bh,0.287,0.23187138290687545,-0.26120638357258497,0.588971087525835
condition,Cardinality5,Cardinality6,True,True,0.2862980795073206,23.0,two-sided,0.7772128183389636,0.7808512888905361,fdr_bh,0.223,0.06481041386549292,-0.36418299795413517,0.4810636994760859
