Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,Cardinality1,Cardinality2,True,True,-0.3011148797848723,23.0,two-sided,0.7660323008492602,0.8818646162417089,fdr_bh,0.224,-0.09265109244674355,-0.4841264151221817,0.3611967802167759
condition,Cardinality1,Cardinality3,True,True,0.22616144511987482,23.0,two-sided,0.823073641825595,0.8818646162417089,fdr_bh,0.22,0.04347409243502611,-0.3763228775161297,0.4686529008551553
condition,Cardinality1,Cardinality4,True,True,-0.4470549528573288,23.0,two-sided,0.6590169355786828,0.8237711694733535,fdr_bh,0.235,-0.11208970766356144,-0.5143958539503252,0.3318864337029178
condition,Cardinality1,Cardinality5,True,True,2.563479777846623,23.0,two-sided,0.01737002672376727,0.13027520042825452,fdr_bh,3.057,0.5066477595124889,0.0730271217597564,0.9735091151848105
condition,Cardinality1,Cardinality6,True,True,1.2252777166947586,23.0,two-sided,0.23287060591085895,0.4990084412375549,fdr_bh,0.418,0.31227467921998836,-0.17870695755130922,0.67892449073541
condition,Cardinality2,Cardinality3,True,True,0.49281104874123827,23.0,two-sided,0.6268181102306982,0.8237711694733535,fdr_bh,0.24,0.13608682172290607,-0.3227352339283106,0.5239245020986246
condition,Cardinality2,Cardinality4,True,True,-0.06837943479636059,23.0,two-sided,0.9460745920103036,0.9460745920103036,fdr_bh,0.215,-0.016874600493977446,-0.43624142629567636,0.40832563893717694
condition,Cardinality2,Cardinality5,True,True,2.0932105348024397,23.0,two-sided,0.04755455522405117,0.1951231037960324,fdr_bh,1.353,0.633241565842692,-0.013839823933044615,0.868389446347089
condition,Cardinality2,Cardinality6,True,True,1.8281735149290057,23.0,two-sided,0.08052419979327013,0.2415725993798104,fdr_bh,0.899,0.4266459733204203,-0.06354223432050715,0.8098909464615853
condition,Cardinality3,Cardinality4,True,True,-0.5710942219312961,23.0,two-sided,0.5734743197945154,0.8237711694733535,fdr_bh,0.249,-0.1565560727712878,-0.5402692460556516,0.30712100625841
condition,Cardinality3,Cardinality5,True,True,2.049051197417358,23.0,two-sided,0.052032827678941976,0.1951231037960324,fdr_bh,1.261,0.4491286167814811,-0.022082937607238784,0.8586045860258066
condition,Cardinality3,Cardinality6,True,True,1.0262749991840616,23.0,two-sided,0.31543507232781887,0.5914407606146603,fdr_bh,0.344,0.25979452816498094,-0.217383075230385,0.6363580891930806
condition,Cardinality4,Cardinality5,True,True,2.688751799037202,23.0,two-sided,0.013109082865659769,0.13027520042825452,fdr_bh,3.861,0.6781527482976554,0.09589206192286115,1.0017862635157126
condition,Cardinality4,Cardinality6,True,True,1.6695901209787465,23.0,two-sided,0.10855662197498891,0.27139155493747225,fdr_bh,0.718,0.4616902584383194,-0.09354744462549047,0.7751547572904179
condition,Cardinality5,Cardinality6,True,True,-0.7582875444051551,23.0,two-sided,0.4559792611313602,0.7599654352189338,fdr_bh,0.278,-0.20257045778134794,-0.579569413238075,0.2699998195546298
