Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,Cardinality1,Cardinality2,True,True,232.69686576681684,1.0,two-sided,0.002735816192840588,0.04103724289260882,fdr_bh,4.704,10.604696571125428,-0.3831796301581425,2.054874636995957
condition,Cardinality1,Cardinality3,True,True,44.29368234672456,1.0,two-sided,0.014370258004413902,0.10777693503310426,fdr_bh,3.381,7.636951818829682,-0.7988997765833585,0.8737270876920877
condition,Cardinality1,Cardinality4,True,True,4.3795719467694605,1.0,two-sided,0.1429112027901811,0.3957511870783283,fdr_bh,1.567,3.143356338339452,-0.65025442832397,1.2390964371930706
condition,Cardinality1,Cardinality5,True,True,3.0271822202324286,1.0,two-sided,0.2031162922662743,0.43524919771344495,fdr_bh,1.305,2.521592388232102,-0.6882028518521996,1.4942295926020728
condition,Cardinality1,Cardinality6,True,True,4.306973546863792,1.0,two-sided,0.1452380450524242,0.3957511870783283,fdr_bh,1.555,3.253084011755905,-0.27731205952515714,1.5581921895825177
condition,Cardinality2,Cardinality3,True,True,-6.22179845639322,1.0,two-sided,0.1014531984718047,0.3957511870783283,fdr_bh,1.832,-1.3431836712131953,-0.6730688178282647,0.670549997278459
condition,Cardinality2,Cardinality4,True,True,-0.6772678783313527,1.0,two-sided,0.6210164051531846,0.7762705064414807,fdr_bh,0.632,-0.498586463031483,-0.9021140477447391,0.45796890201276486
condition,Cardinality2,Cardinality5,True,True,0.31959760713355445,1.0,two-sided,0.8030693850363464,0.9266185211957843,fdr_bh,0.55,0.2697050007232348,-0.39846994785445616,0.89142475883965
condition,Cardinality2,Cardinality6,True,True,0.0686230443667076,1.0,two-sided,0.9563815954802031,0.9636871635553346,fdr_bh,0.524,0.052930684315187417,-0.517736898416905,0.9279453366059799
condition,Cardinality3,Cardinality4,True,True,0.057102011996243235,1.0,two-sided,0.9636871635553346,0.9636871635553346,fdr_bh,0.524,0.036260429828223674,-0.5085959340558199,0.8444622133979156
condition,Cardinality3,Cardinality5,True,True,0.7592822148478219,1.0,two-sided,0.5865693753768167,0.7762705064414807,fdr_bh,0.656,0.594978162609797,-0.4034023117364538,0.8856772212633355
condition,Cardinality3,Cardinality6,True,True,0.7525078657198933,1.0,two-sided,0.5893139035922749,0.7762705064414807,fdr_bh,0.654,0.5140798197422992,-0.25931916645497793,1.0615443711550572
condition,Cardinality4,Cardinality5,True,True,1.4827968316187565,1.0,two-sided,0.37773082990131707,0.7082453060649695,fdr_bh,0.886,0.4991035712823592,-0.6167252598190698,0.5919091618895391
condition,Cardinality4,Cardinality6,True,True,3.938361428377759,1.0,two-sided,0.15830047483133133,0.3957511870783283,fdr_bh,1.49,0.37807432204899755,-0.28232688925713995,0.9605181344069995
condition,Cardinality5,Cardinality6,True,True,-0.7702536074285056,1.0,two-sided,0.5821623093836676,0.7762705064414807,fdr_bh,0.659,-0.1929889866281955,-0.40435445077913346,0.8845698817334517
