Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,Cardinality1,Cardinality2,True,True,0.9028135780704986,11.0,two-sided,0.3859680231561168,0.631902414249459,fdr_bh,0.405,0.39250581313698696,-0.24533948514083886,0.8906872850894765
condition,Cardinality1,Cardinality3,True,True,1.071446293656177,11.0,two-sided,0.3069139582073768,0.631902414249459,fdr_bh,0.463,0.3561303313229586,-0.2649425962977495,0.9818652095262704
condition,Cardinality1,Cardinality4,True,True,1.2998291503129225,11.0,two-sided,0.22023779925835793,0.631902414249459,fdr_bh,0.571,0.499012125189834,-0.23734098381757773,0.9539066897796629
condition,Cardinality1,Cardinality5,True,True,2.3347778705839852,11.0,two-sided,0.039534679910482456,0.5930201986572369,fdr_bh,1.986,0.8671587306495504,-0.0630506340391157,1.1192095084791445
condition,Cardinality1,Cardinality6,True,True,1.186448568989907,11.0,two-sided,0.2604384539440957,0.631902414249459,fdr_bh,0.513,0.4034838804939792,-0.17473590359473418,0.976461506195486
condition,Cardinality2,Cardinality3,True,True,-0.3415637277464932,11.0,two-sided,0.7391150564312948,0.7919089890335301,fdr_bh,0.302,-0.06520610223511754,-0.6096729776975006,0.3308915521025311
condition,Cardinality2,Cardinality4,True,True,0.815651265633521,11.0,two-sided,0.43200686209002215,0.631902414249459,fdr_bh,0.381,0.17573025416381713,-0.2704276732661962,0.6480388639217264
condition,Cardinality2,Cardinality5,True,True,1.1124330476004425,11.0,two-sided,0.28967253390152015,0.631902414249459,fdr_bh,0.48,0.3602974201759386,-0.27288316518174605,0.6205406538192056
condition,Cardinality2,Cardinality6,True,True,0.2546321575655682,11.0,two-sided,0.8037047917234581,0.8037047917234581,fdr_bh,0.296,0.06495197344160011,-0.3168763913895133,0.5735167724581746
condition,Cardinality3,Cardinality4,True,True,0.9308702709158245,11.0,two-sided,0.3718999819624105,0.631902414249459,fdr_bh,0.414,0.23658018475954645,-0.14450374813636496,0.8176701924043153
condition,Cardinality3,Cardinality5,True,True,1.6493983009149937,11.0,two-sided,0.12730132889881982,0.631902414249459,fdr_bh,0.831,0.46837646156113166,-0.0355524091413868,0.8908545980866943
condition,Cardinality3,Cardinality6,True,True,0.5054972479228044,11.0,two-sided,0.6231848481603843,0.7789810602004804,fdr_bh,0.321,0.12451010319381942,-0.24011227661114773,0.6812847510120635
condition,Cardinality4,Cardinality5,True,True,0.3866881425321449,11.0,two-sided,0.7063628135309408,0.7919089890335301,fdr_bh,0.307,0.09724248085010777,-0.45970246238533835,0.42710674324306125
condition,Cardinality4,Cardinality6,True,True,-0.7597168295571922,11.0,two-sided,0.4633951037829366,0.631902414249459,fdr_bh,0.367,-0.10423895323095067,-0.5603676071823627,0.32933597561069916
condition,Cardinality5,Cardinality6,True,True,-1.0515736285132868,11.0,two-sided,0.3155481070044484,0.631902414249459,fdr_bh,0.455,-0.23616657031402907,-0.5342542361934688,0.3328015299939304
