Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,Cardinality1,Cardinality2,True,True,0.24527920861174543,11.0,two-sided,0.8107561341711442,0.8686672866119403,fdr_bh,0.295,0.09009108718580063,-0.43140927665311934,0.6804383991989954
condition,Cardinality1,Cardinality3,True,True,1.8108307969166895,11.0,two-sided,0.09753567451459474,0.4876783725729737,fdr_bh,1.006,0.43318318336763634,-0.09281555065876845,1.2060087760277411
condition,Cardinality1,Cardinality4,True,True,2.0455851842922566,11.0,two-sided,0.06547159618586813,0.4876783725729737,fdr_bh,1.352,0.5179596638513848,-0.05889207782612871,1.1838600753228152
condition,Cardinality1,Cardinality5,True,True,1.0484986873329183,11.0,two-sided,0.316900208427326,0.6662262876324961,fdr_bh,0.454,0.2963884938831198,-0.10299002866943086,1.067155405478815
condition,Cardinality1,Cardinality6,True,True,0.47519096331149147,11.0,two-sided,0.6439464243079548,0.743015104970717,fdr_bh,0.317,0.1529712097813432,-0.32337822446699316,0.7997860680380728
condition,Cardinality2,Cardinality3,True,True,0.904381511342234,11.0,two-sided,0.3851721639271306,0.6662262876324961,fdr_bh,0.406,0.2605294271677382,-0.17394402735795678,0.7835805474473838
condition,Cardinality2,Cardinality4,True,True,1.05302942396779,11.0,two-sided,0.3149094795743656,0.6662262876324961,fdr_bh,0.456,0.3485011043938287,-0.3117625599607451,0.6034549686450943
condition,Cardinality2,Cardinality5,True,True,0.6412604410619979,11.0,two-sided,0.5344862873664922,0.6681078592081152,fdr_bh,0.343,0.14887395838156448,-0.3318051214952543,0.5577705633810687
condition,Cardinality2,Cardinality6,True,True,0.1286131928826069,11.0,two-sided,0.8999850955080635,0.8999850955080635,fdr_bh,0.289,0.03616797271026167,-0.3716589798449399,0.516249256467344
condition,Cardinality3,Cardinality4,True,True,0.7890763647670371,11.0,two-sided,0.44674159662419666,0.6681078592081152,fdr_bh,0.374,0.1297895575522821,-0.5347263349997456,0.40232742236974184
condition,Cardinality3,Cardinality5,True,True,-0.8760375907831331,11.0,two-sided,0.39973577257949766,0.6662262876324961,fdr_bh,0.397,-0.14420107784153913,-0.6353449968267298,0.2592118401366301
condition,Cardinality3,Cardinality6,True,True,-1.624807680927192,11.0,two-sided,0.13248561188088084,0.49682104455330317,fdr_bh,0.808,-0.27519356354799507,-0.7333527987727058,0.19347240952004652
condition,Cardinality4,Cardinality5,True,True,-1.1159224968016035,11.0,two-sided,0.28823964861543105,0.6662262876324961,fdr_bh,0.481,-0.2595791151045642,-0.4733124369871141,0.4136352416731013
condition,Cardinality4,Cardinality6,True,True,-2.045262474977062,11.0,two-sided,0.06550798559995528,0.4876783725729737,fdr_bh,1.351,-0.3747339481750934,-0.6758505930032914,0.22223150431040467
condition,Cardinality5,Cardinality6,True,True,-0.6915640748081247,11.0,two-sided,0.5035459058291825,0.6681078592081152,fdr_bh,0.353,-0.13759678177399753,-0.5300419699028198,0.33683824937807855
