Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
2 to 1 - 3 to 2,-0.11158995994807723,0.34263893264391754,-0.325677993119496,0.7446679961776754,0.985334999314829
2 to 1 - 4 to 3,-0.22180480926008606,0.3464407816556543,-0.6402387392156086,0.522017401024216,0.985334999314829
2 to 1 - 5 to 4,0.3600757581122773,0.3337632866004437,1.0788357274996903,0.2806609648470364,0.9283082759440816
2 to 1 - 6 to 5,0.1216293898174763,0.35113015605977727,0.34639403001538216,0.7290466110932132,0.985334999314829
3 to 2 - 4 to 3,-0.11021484931200883,0.36780942223082813,-0.29965205525061483,0.7644425732448366,0.985334999314829
3 to 2 - 5 to 4,0.47166571806035457,0.35326527079919967,1.3351601672966464,0.18182393064873992,0.8357062831355461
3 to 2 - 6 to 5,0.23321934976555353,0.3699740494027785,0.6303667788106277,0.5284546410712594,0.985334999314829
4 to 3 - 5 to 4,0.5818805673723634,0.3619343425635091,1.6076964768002364,0.1079016705859075,0.680752679458547
4 to 3 - 6 to 5,0.34343419907756234,0.3704933836682726,0.9269644593304313,0.3539449874917939,0.9530228676306796
5 to 4 - 6 to 5,-0.23844636829480104,0.35789735069964684,-0.6662423396783091,0.5052562142546964,0.985334999314829
