Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
2 to 1 - 3 to 2,3.1732232124054325,4.15915285057184,0.7629494097503888,0.4454935674972349,0.9680183478187395
2 to 1 - 4 to 3,4.616808892926122,4.191117512049567,1.1015698986374591,0.27064870076770875,0.9056682803402212
2 to 1 - 5 to 4,2.2231833450901513,4.200342611760389,0.5292861917657716,0.5966069329240773,0.9680183478187395
2 to 1 - 6 to 5,7.774783671656177,4.090464632842628,1.9007091784223955,0.05734011567244246,0.4459483441811708
3 to 2 - 4 to 3,1.4435856805206897,4.03533677365572,0.35773611014203077,0.7205408070506527,0.9680183478187395
3 to 2 - 5 to 4,-0.9500398673152812,4.036504341227214,-0.23536203283914753,0.8139277518107393,0.9680183478187395
3 to 2 - 6 to 5,4.601560459250745,4.04725495732333,1.136958384824367,0.25555568292245257,0.9056682803402212
4 to 3 - 5 to 4,-2.393625547835971,4.033572273792351,-0.5934257242366188,0.5528962774803972,0.9680183478187395
4 to 3 - 6 to 5,3.157974778730055,4.05936809952887,0.7779473803069422,0.43660003462260866,0.9680183478187395
5 to 4 - 6 to 5,5.551600326566026,4.063284659316253,1.366283879185619,0.17184987887771896,0.8167763090971928
