Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
2 to 1 - 3 to 2,2.4096777175962054,0.5439688324162065,4.429808426510161,9.431683478000608e-06,9.320358191485412e-05
2 to 1 - 4 to 3,2.376534722409515,0.5361782561965397,4.432359378516797,9.320749125407701e-06,9.320358191485412e-05
2 to 1 - 5 to 4,1.6471145783497094,0.5341857689031444,3.0834115662267956,0.0020464192195064346,0.014237289411478438
2 to 1 - 6 to 5,1.9833243723795955,0.5362614131085301,3.6984282737833394,0.00021693863308991368,0.0017341918899297366
3 to 2 - 4 to 3,-0.033142995186690616,0.528623850369458,-0.06269674583075811,0.9500079887482697,0.9500079887482697
3 to 2 - 5 to 4,-0.762563139246496,0.5295631813086952,-1.4399851918745452,0.149871588627146,0.6225084943848855
3 to 2 - 6 to 5,-0.42635334521660995,0.5285922924501474,-0.806582599304208,0.4199070021795275,0.8867624425788184
4 to 3 - 5 to 4,-0.7294201440598054,0.5274891259068603,-1.3828155088615048,0.1667214423612906,0.6225084943848855
4 to 3 - 6 to 5,-0.39321035002991933,0.5273591214976757,-0.7456215963672345,0.4558960332024986,0.8867624425788184
5 to 4 - 6 to 5,0.33620979402988604,0.5274995307794444,0.6373651053927866,0.5238870521785226,0.8867624425788184
