Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,2 to 1,3 to 2,True,True,-1.20664916829398,23.0,two-sided,0.23983215051323772,0.5995803762830942,fdr_bh,0.41,-0.3608797948850265,-0.6749256846411482,0.18231322449548876
condition,2 to 1,4 to 3,True,True,-2.1355273812250264,23.0,two-sided,0.04359040289179029,0.43590402891790286,fdr_bh,1.45,-0.5631386866109935,-0.877780166451285,0.0059547638273978465
condition,2 to 1,5 to 4,True,True,-0.5969893986705656,23.0,two-sided,0.5563462186872565,0.6679878943465042,fdr_bh,0.252,-0.1629633469009141,-0.5456876532542582,0.3019677518219501
condition,2 to 1,6 to 5,True,True,-0.8639485115205309,23.0,two-sided,0.3965369446125584,0.6608949076875974,fdr_bh,0.301,-0.20244460582437263,-0.6018861784425671,0.2491806755655112
condition,3 to 2,4 to 3,True,True,-0.9659060204837867,23.0,two-sided,0.3441384955663903,0.6608949076875974,fdr_bh,0.326,-0.17924381086900773,-0.6235117134229566,0.2291822318116977
condition,3 to 2,5 to 4,True,True,0.6890997751323604,23.0,two-sided,0.4976539439162402,0.6679878943465042,fdr_bh,0.266,0.16231324893871152,-0.2836846230770805,0.565008428233899
condition,3 to 2,6 to 5,True,True,0.5300036051637488,23.0,two-sided,0.6011891049118537,0.6679878943465042,fdr_bh,0.244,0.144935567826769,-0.31531020704620294,0.5316832727939876
condition,4 to 3,5 to 4,True,True,1.5604869417685705,23.0,two-sided,0.13230017906166014,0.4654839317499518,fdr_bh,0.621,0.333200440904236,-0.11430844621642222,0.7513745724846229
condition,4 to 3,6 to 5,True,True,1.5300414323525664,23.0,two-sided,0.13964517952498554,0.4654839317499518,fdr_bh,0.597,0.32595256205249806,-0.12011916266721467,0.7447559617640302
condition,5 to 4,6 to 5,True,True,-0.12963595520295657,23.0,two-sided,0.8979815134588395,0.8979815134588395,fdr_bh,0.216,-0.02513894801484213,-0.448798708709649,0.39587505161539205
