Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,2 to 1,3 to 2,True,True,1.0,2.0,two-sided,0.42264973081037427,0.7407407407407408,fdr_bh,0.661,1.0954451150103321,-0.3617099869166571,1.249592776005046
condition,2 to 1,4 to 3,True,True,0.6546536707079771,2.0,two-sided,0.5799159747915971,0.7407407407407408,fdr_bh,0.553,0.7071067811865475,-0.3259778130261672,1.1665848609737997
condition,2 to 1,5 to 4,True,True,0.6401843996644798,2.0,two-sided,0.5876069505788388,0.7407407407407408,fdr_bh,0.55,0.5832118435198047,-0.8096732518600686,0.6241161019089528
condition,2 to 1,6 to 5,True,True,0.5,2.0,two-sided,0.6666666666666667,0.7407407407407408,fdr_bh,0.518,0.4082482904638631,-0.40597738960105667,1.1892133240112996
condition,3 to 2,4 to 3,True,True,-1.7320508075688774,2.0,two-sided,0.22540333075851657,0.7407407407407408,fdr_bh,0.986,-0.5345224838248488,-0.7034587576429667,0.9763471690978744
condition,3 to 2,5 to 4,True,True,-0.9999999999999999,2.0,two-sided,0.42264973081037427,0.7407407407407408,fdr_bh,0.661,-0.6963106238227907,-0.9001248657892773,0.6435247461494435
condition,3 to 2,6 to 5,True,True,-2.0,2.0,two-sided,0.1835034190722739,0.7407407407407408,fdr_bh,1.128,-1.6329931618554523,-1.3352707709369578,0.5793418249185034
condition,4 to 3,5 to 4,True,True,-0.17960530202677488,2.0,two-sided,0.8740118423302576,0.8740118423302576,fdr_bh,0.474,-0.1632993161855446,-0.9654706634059501,0.7132081738511936
condition,4 to 3,6 to 5,True,True,-0.8660254037844387,2.0,two-sided,0.4777670321329065,0.7407407407407408,fdr_bh,0.615,-0.7071067811865475,-0.9799037216493393,0.5732408674290602
condition,5 to 4,6 to 5,True,True,-0.554700196225229,2.0,two-sided,0.6348516283298893,0.7407407407407408,fdr_bh,0.53,-0.4529108136578391,-0.5903099533228848,0.9601100841397041
