Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,2 to 1,3 to 2,True,True,1.868016979938839,13.0,two-sided,0.0844616298167352,0.2944699767887117,fdr_bh,1.058,0.658560486039212,-0.07773559808891128,1.049083590917605
condition,2 to 1,4 to 3,True,True,1.8423621578127423,13.0,two-sided,0.0883409930366135,0.2944699767887117,fdr_bh,1.024,0.5789368881786086,-0.09809689409740396,1.073472231912521
condition,2 to 1,5 to 4,True,True,1.4042915704197747,13.0,two-sided,0.18367070118500833,0.4591767529625208,fdr_bh,0.608,0.3854115888883055,-0.2776541634563823,0.8525563387686232
condition,2 to 1,6 to 5,True,True,2.084473261198149,13.0,two-sided,0.05740623514180984,0.2944699767887117,fdr_bh,1.416,0.4661383437304863,-0.07763884632276075,1.0492073296959918
condition,3 to 2,4 to 3,True,True,-0.4165437161077126,13.0,two-sided,0.6838076467961359,0.84470964528564,fdr_bh,0.291,-0.06157764980886613,-0.4392401230556474,0.4256347378090427
condition,3 to 2,5 to 4,True,True,-1.0772335703606999,13.0,two-sided,0.3009604110086649,0.6019208220173298,fdr_bh,0.441,-0.2983577643514643,-0.6983938046326111,0.1808313390725601
condition,3 to 2,6 to 5,True,True,-0.3116628923453973,13.0,two-sided,0.760238680757076,0.84470964528564,fdr_bh,0.282,-0.11517431543052284,-0.4208731324374868,0.42365320852051525
condition,4 to 3,5 to 4,True,True,-0.8703713306046726,13.0,two-sided,0.399884261904492,0.6664737698408201,fdr_bh,0.374,-0.2247139022390716,-0.6357566970908378,0.25883285136908907
condition,4 to 3,6 to 5,True,True,-0.17155694346683287,13.0,two-sided,0.866427548286922,0.866427548286922,fdr_bh,0.273,-0.058537562929154796,-0.3801194214226899,0.48534372157247035
condition,5 to 4,6 to 5,True,True,0.47576037161644125,13.0,two-sided,0.6421405151242396,0.84470964528564,fdr_bh,0.298,0.13953728043412672,-0.31337883595546034,0.5546262819336691
