Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,2 to 1,3 to 2,True,True,1.2169542548849304,4.0,two-sided,0.2905111682330153,0.5810223364660306,fdr_bh,0.67,0.3143355713153355,-0.26149313809772723,1.254899522100432
condition,2 to 1,4 to 3,True,True,2.5917613840133478,4.0,two-sided,0.06057136909403655,0.5682849144960156,fdr_bh,1.936,0.8656291323876414,-0.045306620230017636,1.7495262253911485
condition,2 to 1,5 to 4,True,True,1.881652707380687,4.0,two-sided,0.13302692344773917,0.5682849144960156,fdr_bh,1.118,0.770253382429842,-0.46159116527929567,0.8192685101845387
condition,2 to 1,6 to 5,True,True,1.2231060701776806,4.0,two-sided,0.2884190504009614,0.5810223364660306,fdr_bh,0.673,0.5326055755114283,-0.19532475116529868,1.3500221954616687
condition,3 to 2,4 to 3,True,True,1.6687785594192124,4.0,two-sided,0.17048547434880468,0.5682849144960156,fdr_bh,0.945,0.540240423452615,-1.0776541468731984,0.6164687606898666
condition,3 to 2,5 to 4,True,True,0.9679840738063574,4.0,two-sided,0.3878671458006668,0.6464452430011113,fdr_bh,0.564,0.38877909644116326,-0.9990074713804555,0.5569882659234615
condition,3 to 2,6 to 5,True,True,0.5618308111959712,4.0,two-sided,0.6042198894530135,0.8291215356837772,fdr_bh,0.451,0.3011155832150062,-0.7736506601939808,1.0873850343804556
condition,4 to 3,5 to 4,True,True,-0.46929400748042865,4.0,two-sided,0.6632972285470218,0.8291215356837772,fdr_bh,0.435,-0.2073120415446192,-1.3473966129019843,0.29324101679526415
condition,4 to 3,6 to 5,True,True,-0.3276880123450695,4.0,two-sided,0.7595813135026112,0.8439792372251235,fdr_bh,0.416,-0.1313033192271603,-0.8027999184661289,1.0541827161399366
condition,5 to 4,6 to 5,True,True,0.05493189916568361,4.0,two-sided,0.9588269547756758,0.9588269547756758,fdr_bh,0.398,0.026589901093723355,-0.3386084012697265,1.1497810915221394
