Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,2 to 1,3 to 2,True,True,4.330173870179416,23.0,two-sided,0.00024725254281182283,0.0010281513628869583,fdr_bh,120.518,1.0950348996845087,0.3859389191870707,1.381847160724965
condition,2 to 1,4 to 3,True,True,4.776009163222633,23.0,two-sided,8.136578239884794e-05,0.0008136578239884794,fdr_bh,325.662,1.0699214975377285,0.4620250267800192,1.4877725493453655
condition,2 to 1,5 to 4,True,True,3.290228400076274,23.0,two-sided,0.003204690949455886,0.008011727373639714,fdr_bh,12.749,0.7099186246783472,0.20415386012747622,1.1390762594393138
condition,2 to 1,6 to 5,True,True,4.241480835375039,23.0,two-sided,0.0003084454088660875,0.0010281513628869583,fdr_bh,99.009,0.7706466776679088,0.37067834538071226,1.3608989546963848
condition,3 to 2,4 to 3,True,True,-0.2682043799057029,23.0,two-sided,0.7909328239084726,0.7909328239084726,fdr_bh,0.222,-0.043839210289640024,-0.47732624295933124,0.36783226336790764
condition,3 to 2,5 to 4,True,True,-1.793316329234716,23.0,two-sided,0.08608358243092315,0.1721671648618463,fdr_bh,0.854,-0.353901534565721,-0.8022385459916923,0.07012022032068926
condition,3 to 2,6 to 5,True,True,-0.7279326538105776,23.0,two-sided,0.4740009905357909,0.5925012381697387,fdr_bh,0.273,-0.18333187500973291,-0.5731759418745161,0.2759986803835248
condition,4 to 3,5 to 4,True,True,-1.487292670020502,23.0,two-sided,0.15051956574608338,0.250865942910139,fdr_bh,0.565,-0.31766053284262696,-0.7354755409786607,0.12829085102335647
condition,4 to 3,6 to 5,True,True,-0.7468562735658625,23.0,two-sided,0.4627173620928937,0.5925012381697387,fdr_bh,0.276,-0.1484269677174688,-0.5771607768994109,0.27225797999393647
condition,5 to 4,6 to 5,True,True,0.6190471743619785,23.0,two-sided,0.5419689364035509,0.6021877071150565,fdr_bh,0.255,0.12869020401720221,-0.29758275851755256,0.5503077091673152
