Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,2 to 1,3 to 2,True,True,-0.32959408265651063,10.0,two-sided,0.7485065539925178,0.7485065539925178,fdr_bh,0.312,-0.12337065564917732,-0.6146646311338824,0.45280376890170126
condition,2 to 1,4 to 3,True,True,0.6383850840919602,10.0,two-sided,0.5375677938347622,0.7485065539925178,fdr_bh,0.354,0.2474001029122333,-0.45733934612528804,0.5718075383667819
condition,2 to 1,5 to 4,True,True,0.34604851911514195,10.0,two-sided,0.7364763296635745,0.7485065539925178,fdr_bh,0.313,0.1503915411912119,-0.40490068801717616,0.6265572360565945
condition,2 to 1,6 to 5,True,True,2.719025285753519,10.0,two-sided,0.021596430577285126,0.07895771361082853,fdr_bh,3.274,1.3135931947684332,0.0384854002429138,1.4809835016908712
condition,3 to 2,4 to 3,True,True,1.3198922817094603,10.0,two-sided,0.21628674012187243,0.43257348024374487,fdr_bh,0.597,0.3331141444068008,-0.4204733367550693,0.5755979629485883
condition,3 to 2,5 to 4,True,True,0.7102878763246286,10.0,two-sided,0.4937567992670451,0.7485065539925178,fdr_bh,0.368,0.2499189268363901,-0.3640179467584095,0.7096336625678421
condition,3 to 2,6 to 5,True,True,2.6651901176475405,10.0,two-sided,0.02368731408324856,0.07895771361082853,fdr_bh,3.044,1.247730083142724,0.030895171733795412,1.5762749401207605
condition,4 to 3,5 to 4,True,True,-0.34427233407521757,10.0,two-sided,0.7377714195891223,0.7485065539925178,fdr_bh,0.313,-0.099390052288868,-0.5114015669243847,0.5169054935188676
condition,4 to 3,6 to 5,True,True,1.8231429489588689,10.0,two-sided,0.09827107952304669,0.2456776988076167,fdr_bh,1.033,0.8874144337345815,-0.2051548187782543,1.0570638786148245
condition,5 to 4,6 to 5,True,True,3.228064653483419,10.0,two-sided,0.00905058522331514,0.07895771361082853,fdr_bh,6.56,1.0592022726738808,0.1571448933928965,1.669959300784444
