Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
2 to 1 - 3 to 2,4.873625437753966,5.1739515347423755,0.9419542114046178,0.34621608317595687,0.9781773195143312
2 to 1 - 4 to 3,5.365316479318299,5.158666535343302,1.0400587908831065,0.2983125876048778,0.9710641091402411
2 to 1 - 5 to 4,1.414432031072139,5.163936768535933,0.273905761141447,0.7841570440953325,0.9946009345246725
2 to 1 - 6 to 5,1.9365782902709991,5.58820092947774,0.34654771986732896,0.7289311279889077,0.9946009345246725
3 to 2 - 4 to 3,0.49169104156433274,4.456084466223126,0.11034149942428688,0.9121385463992631,0.9946009345246725
3 to 2 - 5 to 4,-3.459193406681827,4.492360726385267,-0.7700168391119455,0.44128990396549383,0.9830056078807304
3 to 2 - 6 to 5,-2.937047147482967,5.141771762078055,-0.571213053279509,0.567855230950066,0.9849288531343181
4 to 3 - 5 to 4,-3.9508844482461596,4.466732741535052,-0.8845132845105895,0.37641919440745286,0.9781773195143312
4 to 3 - 6 to 5,-3.4287381890472997,5.088609886988985,-0.6738064550427034,0.500434370437822,0.9844562677765257
5 to 4 - 6 to 5,0.5221462591988602,5.136342040774438,0.10165722123913168,0.9190287586751997,0.9946009345246725
