Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
2 to 1 - 2 to 2,5.4333615175695975,2.23172184406419,2.4346051601461673,0.014908047246478207,0.13946663591690786
2 to 1 - 2 to 3,4.4198183190888995,2.284652215495079,1.9345694233514377,0.053043155216309534,0.3876895265575613
2 to 1 - 2 to 4,4.461273213824834,2.3254784024467416,1.9184324434623539,0.05505620055270466,0.3876895265575613
2 to 1 - 2 to 5,2.239011154412942,2.2279801827910317,1.0049511085004768,0.314920392760037,0.8537679832936901
2 to 2 - 2 to 3,-1.013543198480698,2.078735686129914,-0.48757675410271223,0.6258496643467573,0.9476232655889961
2 to 2 - 2 to 4,-0.9720883037447638,2.1188076483427922,-0.45879025616368463,0.6463847925738704,0.9476232655889961
2 to 2 - 2 to 5,-3.1943503631566554,2.005120116496913,-1.5930967610745497,0.11113848584600694,0.5616321272312088
2 to 3 - 2 to 4,0.04145489473593411,2.0832438828562854,0.019899203870022315,0.9841237802398788,0.9841237802398788
2 to 3 - 2 to 5,-2.1808071646759575,2.0196445907359335,-1.079797492429744,0.2802323680770602,0.8537679832936901
2 to 4 - 2 to 5,-2.2222620594118916,2.0321897250798724,-1.0935308017682988,0.274160812746548,0.8537679832936901
