Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
2 to 1 - 2 to 2,7.5803058469034905,3.907889767088612,1.9397440303314486,0.05241080568600087,0.31397380704754
2 to 1 - 2 to 3,11.049351054464918,3.951675321805332,2.7961181409552127,0.005172049027659664,0.05053318916852313
2 to 1 - 2 to 4,8.52318943799328,4.038012599198526,2.1107386935060535,0.03479477819759569,0.27292876149338857
2 to 1 - 2 to 5,8.161034576413565,3.9720010189277297,2.054640604955508,0.03991373067489956,0.27809164293594163
2 to 2 - 2 to 3,3.469045207561427,3.9268524199504324,0.8834162419593085,0.37701141846174235,0.9415370776291103
2 to 2 - 2 to 4,0.9428835910897888,3.994167221501007,0.23606512667124974,0.8133821341154082,0.9935008036785903
2 to 2 - 2 to 5,0.5807287295100743,3.9416455264945287,0.14733154607805152,0.8828703339940216,0.9935008036785903
2 to 3 - 2 to 4,-2.5261616164716383,3.925731777872402,-0.6434880830907715,0.5199074448837142,0.9538877507384423
2 to 3 - 2 to 5,-2.888316478051353,3.9052206656445945,-0.7396039111082109,0.4595403677993697,0.9538877507384423
2 to 4 - 2 to 5,-0.36215486157971455,3.9148281052902076,-0.09250849637314226,0.9262940410398013,0.9935008036785903
