Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,2 to 1,2 to 2,True,True,3.0557005668031034,3.0,two-sided,0.05517952998058932,0.1379488249514733,fdr_bh,2.228,1.8267747227381397,0.1140299049586524,2.0495781575556036
condition,2 to 1,2 to 3,True,True,4.316075744392475,3.0,two-sided,0.0229114402330812,0.076371467443604,fdr_bh,4.037,3.8881581655963013,-0.08903970711189535,1.5126866215105907
condition,2 to 1,2 to 4,True,True,4.812429346610899,3.0,two-sided,0.017087392303517513,0.076371467443604,fdr_bh,4.915,1.8667471686498929,-0.042208233997572564,1.755046800538473
condition,2 to 1,2 to 5,True,True,16.650577857758208,3.0,two-sided,0.0004715980970877883,0.004715980970877883,fdr_bh,53.191,4.479314236723769,0.0803820914487402,1.7978034860532364
condition,2 to 2,2 to 3,True,True,0.5568952641309601,3.0,two-sided,0.6164468168125896,0.7470289065518254,fdr_bh,0.484,0.33708663717657844,-0.5645417332991228,0.9900974826767729
condition,2 to 2,2 to 4,True,True,-0.06436275557979672,3.0,two-sided,0.9527301053073525,0.9527301053073525,fdr_bh,0.428,-0.033298300559160124,-1.0391326212803216,0.6487593818369785
condition,2 to 2,2 to 5,True,True,1.823817356505516,3.0,two-sided,0.1656881765802977,0.27614696096716285,fdr_bh,1.057,0.8444264305901911,-0.6621186709549096,0.8797620467282723
condition,2 to 3,2 to 4,True,True,-0.4669987450501141,3.0,two-sided,0.6723260158966429,0.7470289065518254,fdr_bh,0.468,-0.39791752975136346,-1.1021479243919199,0.7609530805521628
condition,2 to 3,2 to 5,True,True,1.2302128397355385,3.0,two-sided,0.3062868598847486,0.4375526569782123,fdr_bh,0.71,0.926796823660585,-0.683760403419801,0.8564379969599039
condition,2 to 4,2 to 5,True,True,1.995659816801332,3.0,two-sided,0.13991343306767068,0.27614696096716285,fdr_bh,1.185,0.9263405426127849,-0.11604100218384628,1.6268709638227077
