Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,2 to 1,2 to 2,True,True,3.778341179534415,23.0,two-sided,0.0009739108232121012,0.004869554116060506,fdr_bh,35.892,0.9021599245637436,0.29027594447163935,1.2522253828625014
condition,2 to 1,2 to 3,True,True,1.7440387509597945,23.0,two-sided,0.09450473758329722,0.17201794552248215,fdr_bh,0.796,0.4668019912067491,-0.0794360685238924,0.7914369071059595
condition,2 to 1,2 to 4,True,True,3.4219405926104036,23.0,two-sided,0.002331140590813037,0.0077704686360434575,fdr_bh,16.78,0.9088341005044925,0.22753992273124424,1.1694614742708513
condition,2 to 1,2 to 5,True,True,5.216250923524351,23.0,two-sided,2.7324802764207777e-05,0.0002732480276420778,fdr_bh,871.447,1.3476968654858095,0.5361981614992877,1.5933273606600753
condition,2 to 2,2 to 3,True,True,-1.5704395097485528,23.0,two-sided,0.12996940060586842,0.18567057229409775,fdr_bh,0.629,-0.4301213176863839,-0.7535398243429681,0.11241057921121428
condition,2 to 2,2 to 4,True,True,-0.30681215284773417,23.0,two-sided,0.7617468747615841,0.7617468747615841,fdr_bh,0.224,-0.07144970726907797,-0.48530458604565113,0.36004904915202623
condition,2 to 2,2 to 5,True,True,1.09788323312768,23.0,two-sided,0.28361659968778263,0.3151295552086474,fdr_bh,0.368,0.2596751675854864,-0.20342742632379923,0.6516363793771134
condition,2 to 3,2 to 4,True,True,1.4104218847206424,23.0,two-sided,0.17179705602527937,0.21474632003159919,fdr_bh,0.515,0.39043397388522194,-0.14302301401243211,0.718825337282454
condition,2 to 3,2 to 5,True,True,3.2790371286986213,23.0,two-sided,0.003292102945295206,0.008230257363238016,fdr_bh,12.458,0.7620801980810238,0.20216165207874742,1.1364996500799989
condition,2 to 4,2 to 5,True,True,1.6968923318173508,23.0,two-sided,0.10321076731348929,0.17201794552248215,fdr_bh,0.745,0.3659239475761035,-0.08836725859457945,0.781120652160251
