Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
3 to 1 - 3 to 2,-1.081314553163286,0.5021037100713248,-2.153568140354277,0.0312740550188193,0.2487086600975578
3 to 1 - 3 to 4,-0.01904665221126168,0.5073755906814165,-0.03753955168730449,0.9700548046721165,0.9934153183490517
3 to 1 - 3 to 5,-0.5840635009575919,0.5129758779328233,-1.1385788807677188,0.25487884118991566,0.8288561190668925
3 to 1 - 3 to 6,0.09853161938863908,0.5004785501201157,0.19687480984947572,0.8439255066999896,0.9934153183490517
3 to 2 - 3 to 4,1.0622679009520242,0.5044489670249751,2.1057985453252632,0.03522185525972743,0.2493808256061949
3 to 2 - 3 to 5,0.4972510522056941,0.5150007260659236,0.9655346624541313,0.3342770831891446,0.8288561190668925
3 to 2 - 3 to 6,1.1798461725519251,0.48319118608560363,2.4417791684281673,0.014615083593926492,0.13690400556039156
3 to 4 - 3 to 5,-0.5650168487463302,0.5182125389901796,-1.0903187519301565,0.2755727577417475,0.8288561190668925
3 to 4 - 3 to 6,0.11757827159990075,0.4958699994113466,0.23711511432326896,0.8125674871529198,0.9934153183490517
3 to 5 - 3 to 6,0.6825951203462309,0.5065600659127901,1.3475107223784735,0.1778158024587848,0.746029147123781
