Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,3 to 1,3 to 2,True,True,1.338803507321976,23.0,two-sided,0.19371803473525542,0.3388668333335462,fdr_bh,0.474,0.3266000845295517,-0.15679256657375334,0.703356809704974
condition,3 to 1,3 to 4,True,True,3.740111591051312,23.0,two-sided,0.0010701954608798596,0.010701954608798595,fdr_bh,33.047,0.7945522336838259,0.28358358888576757,1.2433105743050092
condition,3 to 1,3 to 5,True,True,3.321721951155798,23.0,two-sided,0.002970621329784536,0.01485310664892268,fdr_bh,13.61,0.5704273992324537,0.20975581401465637,1.1463314939409859
condition,3 to 1,3 to 6,True,True,2.2028884921716165,23.0,two-sided,0.03789109458966208,0.12630364863220694,fdr_bh,1.621,0.5346742943317393,0.0065685586912681004,0.8927569023203115
condition,3 to 2,3 to 4,True,True,1.6807546371950757,23.0,two-sided,0.10634296911253319,0.26585742278133295,fdr_bh,0.729,0.3643198848369195,-0.09142841748509184,0.7775936248091919
condition,3 to 2,3 to 5,True,True,0.8758930092475568,23.0,two-sided,0.3901443753999613,0.48768046924995156,fdr_bh,0.303,0.20861503969104284,-0.24683321206318595,0.6044150357177496
condition,3 to 2,3 to 6,True,True,0.8980265101338746,23.0,two-sided,0.3784764397828947,0.48768046924995156,fdr_bh,0.309,0.15619695297759234,-0.24248653318832686,0.6091043207417102
condition,3 to 4,3 to 5,True,True,-0.6220256327921441,23.0,two-sided,0.5400428163086053,0.6000475736762281,fdr_bh,0.256,-0.1418928307271,-0.5509318788725276,0.29699097766043214
condition,3 to 4,3 to 6,True,True,-1.3094276589414484,23.0,two-sided,0.20332010000012773,0.3388668333335462,fdr_bh,0.458,-0.2161192315140726,-0.6970243910005741,0.16245278775162952
condition,3 to 5,3 to 6,True,True,-0.29959322015188455,23.0,two-sided,0.7671781759864074,0.7671781759864074,fdr_bh,0.224,-0.062194426223033034,-0.4838117908056054,0.3615033708440348
