Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,3 to 1,3 to 2,True,True,1.867659406521374,23.0,two-sided,0.07460462555591794,0.2093055016034687,fdr_bh,0.953,0.4983102351129797,-0.05610242373808044,0.8185711836191845
condition,3 to 1,3 to 4,True,True,2.0061708002285776,23.0,two-sided,0.05673733704395366,0.2093055016034687,fdr_bh,1.178,0.5930956188932043,-0.030101790323485422,0.8491175898953223
condition,3 to 1,3 to 5,True,True,1.8078774993432434,23.0,two-sided,0.08372220064138748,0.2093055016034687,fdr_bh,0.872,0.5634577735524527,-0.06737116839808499,0.8054340668730479
condition,3 to 1,3 to 6,True,True,2.247402210756833,23.0,two-sided,0.0345046734434768,0.2093055016034687,fdr_bh,1.747,0.7186919984020872,0.014825272265825085,0.9026728382603583
condition,3 to 2,3 to 4,True,True,0.28049475754099534,23.0,two-sided,0.7816055090471402,0.9135033109792952,fdr_bh,0.223,0.08824857156774367,-0.36535314003756125,0.4798646452877483
condition,3 to 2,3 to 5,True,True,0.20890970240062032,23.0,two-sided,0.8363578929629276,0.9135033109792952,fdr_bh,0.219,0.058979012334446676,-0.3798113765176844,0.465098405384052
condition,3 to 2,3 to 6,True,True,0.7149203529842406,23.0,two-sided,0.481852603087648,0.9135033109792952,fdr_bh,0.271,0.18373170263147048,-0.2785726668239652,0.570437678747603
condition,3 to 4,3 to 5,True,True,-0.10982180351133096,23.0,two-sided,0.9135033109792952,0.9135033109792952,fdr_bh,0.216,-0.029549901168593233,-0.4447332953713567,0.39989873183219754
condition,3 to 4,3 to 6,True,True,0.34701419015299545,23.0,two-sided,0.731735743135865,0.9135033109792952,fdr_bh,0.227,0.09206877036573517,-0.35195833081434347,0.4936262807110058
condition,3 to 5,3 to 6,True,True,0.5361902647381803,23.0,two-sided,0.5969752790980019,0.9135033109792952,fdr_bh,0.245,0.12309149097933228,-0.31407628870473464,0.5329750476474628
