Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,3 to 1,3 to 2,True,True,0.5137923770844581,10.0,two-sided,0.6185580890052497,0.9572170421728358,fdr_bh,0.333,0.10556033040133402,-0.6343135248342767,0.3975869093479666
condition,3 to 1,3 to 4,True,True,-0.05500612522518086,10.0,two-sided,0.9572170421728358,0.9572170421728358,fdr_bh,0.298,-0.024609471285617253,-0.6852889947187143,0.42688660721045835
condition,3 to 1,3 to 5,True,True,-0.26668126855933777,10.0,two-sided,0.7951330582371653,0.9572170421728358,fdr_bh,0.307,-0.130695551628171,-0.5444003827836731,0.5631871316671592
condition,3 to 1,3 to 6,True,True,0.4123708075247744,10.0,two-sided,0.6887689060575376,0.9572170421728358,fdr_bh,0.32,0.14997132335382235,-0.473759449910775,0.5209556041583164
condition,3 to 2,3 to 4,True,True,-0.30454777675220773,10.0,two-sided,0.7669541451929973,0.9572170421728358,fdr_bh,0.31,-0.1262044742987911,-0.5060535333687822,0.6021485856852525
condition,3 to 2,3 to 5,True,True,-0.5436245540312292,10.0,two-sided,0.5986091016564337,0.9572170421728358,fdr_bh,0.338,-0.23991908370437123,-0.5949037058395781,0.5599500885907545
condition,3 to 2,3 to 6,True,True,0.05790465197684722,10.0,two-sided,0.9549653109570422,0.9572170421728358,fdr_bh,0.298,0.02242254569604005,-0.36833200419286893,0.6656383137946343
condition,3 to 4,3 to 5,True,True,-0.39742114202632667,10.0,two-sided,0.6994075656882381,0.9572170421728358,fdr_bh,0.318,-0.098247942918136,-0.6242931232432509,0.5310991564949501
condition,3 to 4,3 to 6,True,True,0.3425596126956798,10.0,two-sided,0.7390210511838006,0.9572170421728358,fdr_bh,0.313,0.17213697188084087,-0.39397045365751826,0.6770796846104897
condition,3 to 5,3 to 6,True,True,0.6514117855442836,10.0,two-sided,0.529465603279739,0.9572170421728358,fdr_bh,0.356,0.3310790574533843,-0.18107699387546677,0.9686180997336844
