Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
3 to 1 - 3 to 2,-0.42400040396947053,0.46319996079793047,-0.9153722794774575,0.35999622584231017,0.9930378542740625
3 to 1 - 3 to 3,0.39020356986960997,0.4754822412278349,0.8206480411592022,0.41184677475230114,0.9930378542740625
3 to 1 - 3 to 4,-0.29797821743692665,0.45298780867595156,-0.6578062626186211,0.5106626296858625,0.9930378542740625
3 to 1 - 3 to 5,-0.3935586776739453,0.4513847852768266,-0.8718917662069237,0.38326742595255636,0.9930378542740625
3 to 1 - 3 to 6,0.006605717499206513,0.468974192721884,0.01408546056845372,0.9887618000920457,0.9973142443293984
3 to 2 - 3 to 3,0.8142039738390805,0.4649334525480987,1.7512269108122496,0.07990683174716207,0.7132673881144089
3 to 2 - 3 to 4,0.12602218653254388,0.43560823353474903,0.28930166335455854,0.7723505395439931,0.9973142443293984
3 to 2 - 3 to 5,0.030441726295525218,0.4444289807124084,0.06849626738276136,0.9453905912965608,0.9973142443293984
3 to 2 - 3 to 6,0.43060612146867705,0.4503189494838398,0.9562247424014516,0.3389587021084708,0.9930378542740625
3 to 3 - 3 to 4,-0.6881817873065366,0.45101793629316334,-1.5258412846340015,0.12704939624670075,0.82905133804776
3 to 3 - 3 to 5,-0.7837622475435553,0.46484152633577747,-1.6860848335168015,0.09177946076858934,0.7401764763429144
3 to 3 - 3 to 6,-0.38359785237040345,0.4725061195098423,-0.8118367922268002,0.4168852873511042,0.9930378542740625
3 to 4 - 3 to 5,-0.09558046023701866,0.4399920353192318,-0.21723225096034118,0.8280273521030321,0.9973142443293984
3 to 4 - 3 to 6,0.30458393493613317,0.45034371012250973,0.676336602665718,0.4988269585415708,0.9930378542740625
3 to 5 - 3 to 6,0.40016439517315183,0.4545156445417048,0.8804194090538816,0.37863214587915905,0.9930378542740625
