Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
3 to 1 - 3 to 2,-8.156272228699633,4.9526767559142435,-1.6468412195404865,0.09959068644951263,0.6235391752378858
3 to 1 - 3 to 3,6.846246337370349,5.273867055300174,1.2981454150403644,0.1942373708947791,0.6846509420006834
3 to 1 - 3 to 4,-9.337026770313248,5.094441034037025,-1.8327872887193355,0.06683421022150626,0.5639807052641682
3 to 1 - 3 to 5,-9.30761264648002,5.178325560029337,-1.7974174351500778,0.07226937487342777,0.5639807052641682
3 to 1 - 3 to 6,-1.6450747382216835,5.011268394258672,-0.3282751209467085,0.7427036534207816,0.9956173733189091
3 to 2 - 3 to 3,15.002518566069982,5.13932440615943,2.9191616213387137,0.003509742033555252,0.044678076999991906
3 to 2 - 3 to 4,-1.1807545416136147,5.029981881211793,-0.23474329918046435,0.8144079786901699,0.9956173733189091
3 to 2 - 3 to 5,-1.1513404177803874,5.028735269266132,-0.22895228245896668,0.8189060040962266,0.9956173733189091
3 to 2 - 3 to 6,6.511197490477949,4.800425321427475,1.3563792902712528,0.174978519078681,0.6846509420006834
3 to 3 - 3 to 4,-16.183273107683597,5.423012685162718,-2.984184999596404,0.0028433480031386793,0.03907947326938175
3 to 3 - 3 to 5,-16.15385898385037,5.296872837269885,-3.049697336547047,0.002290720878272312,0.03381526780407339
3 to 3 - 3 to 6,-8.491321075592033,5.056157724322765,-1.6794019369182915,0.09307373606472424,0.6235391752378858
3 to 4 - 3 to 5,0.02941412383322728,5.185024511956235,0.0056728996681502195,0.9954737052171907,0.9956173733189091
3 to 4 - 3 to 6,7.691952032091564,4.975250669624709,1.546043112772804,0.12209415605400875,0.6434887143721721
3 to 5 - 3 to 6,7.6625379082583365,4.941146532426431,1.5507611154562384,0.12095894232601667,0.6434887143721721
