Contrast,A,B,Paired,Parametric,dof,alternative,p-adjust,BF10,ci_lower,ci_upper
condition,3 to 1,3 to 2,True,True,0.0,two-sided,fdr_bh,nan,-2.5089344704095544,1.0644900259651102
condition,3 to 1,3 to 3,True,True,0.0,two-sided,fdr_bh,nan,-1.3513970132690545,0.5679421946710042
condition,3 to 1,3 to 4,True,True,0.0,two-sided,fdr_bh,nan,-2.9379631895896967,0.951164653992131
condition,3 to 1,3 to 5,True,True,0.0,two-sided,fdr_bh,nan,-1.3365561527982945,1.1520499111925175
condition,3 to 1,3 to 6,True,True,0.0,two-sided,fdr_bh,nan,-1.5268257651277661,0.9993213864111365
condition,3 to 2,3 to 3,True,True,0.0,two-sided,fdr_bh,nan,-1.049435639895984,1.049435639895984
condition,3 to 2,3 to 4,True,True,0.0,two-sided,fdr_bh,nan,-0.7148504204647934,1.4546231433953158
condition,3 to 2,3 to 5,True,True,0.0,two-sided,fdr_bh,nan,-1.695196250344103,1.4951962503441028
condition,3 to 2,3 to 6,True,True,0.0,two-sided,fdr_bh,nan,-0.47134003390521284,1.4959850802261827
condition,3 to 3,3 to 4,True,True,0.0,two-sided,fdr_bh,nan,-0.6225033840964452,1.070370323400562
condition,3 to 3,3 to 5,True,True,0.0,two-sided,fdr_bh,nan,-1.148362178947631,1.3407009936813692
condition,3 to 3,3 to 6,True,True,0.0,two-sided,fdr_bh,nan,-0.4541792092667716,1.5232241769164692
condition,3 to 4,3 to 5,True,True,0.0,two-sided,fdr_bh,nan,-1.7272916552083595,1.4684528663639866
condition,3 to 4,3 to 6,True,True,0.0,two-sided,fdr_bh,nan,,
condition,3 to 5,3 to 6,True,True,0.0,two-sided,fdr_bh,nan,-2.0424349222589515,4.042434922258952
