Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
4 to 1 - 4 to 2,-0.45874675763735046,0.460082297024242,-0.9970971728416206,0.3187173451848295,0.9000082906447946
4 to 1 - 4 to 3,0.07959796296156846,0.4361485179817291,0.18250196820547934,0.8551888098930656,0.9617524170791263
4 to 1 - 4 to 5,-0.11621963874209813,0.4693508328244427,-0.2476178385424731,0.8044301073250952,0.9617524170791263
4 to 1 - 4 to 6,-0.7971490471249935,0.48468356825055553,-1.6446793317179467,0.10003595725491521,0.5696703567108432
4 to 2 - 4 to 3,0.5383447205989189,0.3557667905857208,1.5131955394504608,0.13022999693944537,0.623442780578664
4 to 2 - 4 to 5,0.34252711889525234,0.36966802570003804,0.9265803236474425,0.3541444748655671,0.9000082906447946
4 to 2 - 4 to 6,-0.338402289487643,0.3661467724646616,-0.9242257884993474,0.3553687715264475,0.9000082906447946
4 to 3 - 4 to 5,-0.19581760170366658,0.3622194116276005,-0.5406049356211411,0.5887799152056334,0.9304618784354806
4 to 3 - 4 to 6,-0.876747010086562,0.3789704587113206,-2.313496975642687,0.020695330848635063,0.18870602357890445
4 to 5 - 4 to 6,-0.6809294083828953,0.38069187095454826,-1.788662853965151,0.07366912867917996,0.4977785702567597
