Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
4 to 1 - 4 to 2,-2.499162460285301,2.5624227677629206,-0.97531230666794,0.3294053677436586,0.8539530254141846
4 to 1 - 4 to 3,-0.5443676812350471,2.5640468069213402,-0.21230801238323385,0.8318667449369459,0.8539530254141846
4 to 1 - 4 to 5,4.896158222544174,2.5728366485160628,1.9030194650593677,0.057038005378839296,0.37489422171881936
4 to 1 - 4 to 6,2.2631413518936507,2.5572943918617246,0.8849749012455587,0.376170168345046,0.8539530254141846
4 to 2 - 4 to 3,1.954794779050254,2.5569260634981643,0.7645097005174539,0.444563558128122,0.8539530254141846
4 to 2 - 4 to 5,7.395320682829475,2.597155592696189,2.8474692481370205,0.004406835160283951,0.04320463378641729
4 to 2 - 4 to 6,4.762303812178952,2.566137402839561,1.8558257273789085,0.06347840222926893,0.37489422171881936
4 to 3 - 4 to 5,5.440525903779221,2.6012955759294285,2.091467787867725,0.03648615106577413,0.28431543370077844
4 to 3 - 4 to 6,2.8075090331286976,2.5681995034484055,1.093181830056023,0.27431397310957295,0.8539530254141846
4 to 5 - 4 to 6,-2.6330168706505233,2.5678278802109316,-1.0253868224354028,0.3051807034565437,0.8539530254141846
