Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
4 to 1 - 4 to 2,5.406997216996228,2.40924982005933,2.244265900521298,0.02481529816096839,0.16129707460963433
4 to 1 - 4 to 3,7.123230391063582,2.5266514270027844,2.819237475710468,0.004813788969624921,0.03786768919354008
4 to 1 - 4 to 5,8.489248669176002,2.4527704924524834,3.4610856153474625,0.0005380016827416512,0.005367010435035805
4 to 1 - 4 to 6,8.160114009951041,2.49651711779597,3.2685992624617497,0.0010808125903183363,0.009685365585153262
4 to 2 - 4 to 3,1.7162331740673542,2.293389347959515,0.7483392105201541,0.45425557926368665,0.9112931376542913
4 to 2 - 4 to 5,3.082251452179774,2.2688334479567738,1.3585181648990294,0.17429932264868464,0.6830900717015402
4 to 2 - 4 to 6,2.7531167929548133,2.280210837450358,1.2073957143512397,0.22727978522297088,0.7245064921966342
4 to 3 - 4 to 5,1.3660182781124197,2.3144635283070323,0.5902094638370151,0.5550502280990661,0.9119087108900588
4 to 3 - 4 to 6,1.036883618887459,2.2975961725124407,0.4512906276970413,0.6517800988568214,0.9119087108900588
4 to 5 - 4 to 6,-0.32913465922496066,2.3031405063424084,-0.14290689531037587,0.8863637128012714,0.9119087108900588
