Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
4 to 1 - 4 to 2,1.8590257272407626,0.3480160383771243,5.341781763592881,9.203741879737493e-08,9.203738067839523e-07
4 to 1 - 4 to 3,1.398292624951537,0.3653726792683001,3.8270311500897534,0.0001296981070375569,0.0011666775690047562
4 to 1 - 4 to 5,1.2172829753476608,0.354471679676337,3.4340768110421243,0.0005945756847729466,0.004154613220703579
4 to 1 - 4 to 6,1.2933184383528717,0.3610161277100024,3.5824395063917214,0.0003404004595881638,0.0027199614553352664
4 to 2 - 4 to 3,-0.4607331022892256,0.3311290006426656,-1.3914006365948626,0.16410397169911728,0.511787328969955
4 to 2 - 4 to 5,-0.6417427518931018,0.3272855957620178,-1.960803531236792,0.04990194597608766,0.2644527578843674
4 to 2 - 4 to 6,-0.5657072888878909,0.32918955602932987,-1.7184849231288735,0.08570820214743069,0.3611129009723877
4 to 3 - 4 to 5,-0.18100964960387622,0.33381731417254057,-0.542241645112265,0.5876520498309892,0.9298881349557285
4 to 3 - 4 to 6,-0.10497418659866531,0.3316095890993698,-0.31655956296007126,0.751577822913226,0.9382864219314675
4 to 5 - 4 to 6,0.07603546300521091,0.3323506249939069,0.22878086360332525,0.8190392409902298,0.9382864219314675
