Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
4 to 1 - 4 to 2,0.23515553530951883,0.526602024972577,0.44655266056328713,0.6551980823257395,0.9976962366456792
4 to 1 - 4 to 3,0.7607928699130644,0.5351609216178018,1.4216151426250871,0.15513800640108233,0.8147075444822048
4 to 1 - 4 to 5,-0.002410435064524641,0.5064384244643064,-0.004759581714350206,0.9962024175724093,0.999276087646644
4 to 1 - 4 to 6,0.25340109643960135,0.5363179603271427,0.472482958215742,0.636582102963388,0.9976962366456792
4 to 2 - 4 to 3,0.5256373346035456,0.5543245311066578,0.9482483727612759,0.3430030266276134,0.9652858168066137
4 to 2 - 4 to 5,-0.23756597037404348,0.5362280258545529,-0.4430316188629819,0.6577428645915213,0.9976962366456792
4 to 2 - 4 to 6,0.01824556113008252,0.5409684778240701,0.03372758650092032,0.9730943806360828,0.999276087646644
4 to 3 - 4 to 5,-0.763203304977589,0.5568947473723761,-1.3704623873337802,0.17054260880796512,0.8147075444822048
4 to 3 - 4 to 6,-0.507391773473463,0.5710143658042196,-0.8885796993195605,0.3742290053063053,0.9652858168066137
4 to 5 - 4 to 6,0.255811531504126,0.5467776742861156,0.46785291999736256,0.6398897733426394,0.9976962366456792
