Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
4 to 1 - 4 to 2,4.7316857420771745,5.197204919573535,0.9104289354181249,0.36259634365205695,0.8349337817183755
4 to 1 - 4 to 3,2.7576081385812876,4.964439327651575,0.5554722208450823,0.5785717058176658,0.9168611595789409
4 to 1 - 4 to 5,-11.33008681546453,5.415401256312015,-2.0921971021553665,0.03642088762630524,0.19956833116752015
4 to 1 - 4 to 6,-8.219521702496722,5.208064068486816,-1.5782297595438135,0.11451283580268234,0.4556084810479483
4 to 2 - 4 to 3,-1.974077603495887,4.982874897181523,-0.39617241938233083,0.6919778364098272,0.9168611595789409
4 to 2 - 4 to 5,-16.061772557541705,5.317385582470507,-3.020614606262812,0.002522622203898317,0.02494177689725004
4 to 2 - 4 to 6,-12.951207444573896,5.227000876370076,-2.477751152314316,0.013221332137949737,0.10100346283765105
4 to 3 - 4 to 5,-14.087694954045817,5.201199970816823,-2.708547072423638,0.006757852490110627,0.0592022670637367
4 to 3 - 4 to 6,-10.97712984107801,5.009555037555882,-2.191238494992892,0.028434538258018227,0.1828449415566612
4 to 5 - 4 to 6,3.110565112967807,5.385543297803089,0.5775768461905583,0.5635498427554184,0.9168611595789409
