Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
4 to 1 - 4 to 2,-0.19382588486298685,0.541337014533928,-0.35805030814281946,0.7203056653692326,0.9987958356123562
4 to 1 - 4 to 3,0.023675937702327447,0.5155527043731826,0.045923408996783446,0.9633712961764325,0.9987958356123562
4 to 1 - 4 to 5,-0.5054438411338934,0.5668454676364574,-0.891678367371293,0.3725653518276726,0.9849298880491474
4 to 1 - 4 to 6,-0.22440504663897176,0.5420240008245913,-0.4140131180493486,0.6788644997848052,0.9987958356123562
4 to 2 - 4 to 3,0.2175018225653143,0.5115523758829632,0.42517996752511616,0.6707054863587412,0.9987958356123562
4 to 2 - 4 to 5,-0.31161795627090655,0.5462996922167482,-0.5704157639306704,0.5683957401971622,0.9987958356123562
4 to 2 - 4 to 6,-0.03057916177598491,0.5317284913554375,-0.05750897736932449,0.9541397550390829,0.9987958356123562
4 to 3 - 4 to 5,-0.5291197788362209,0.537506657068277,-0.9843966988654601,0.32492050054593147,0.9803415534029123
4 to 3 - 4 to 6,-0.24808098434129922,0.5134320494103283,-0.4831817270196082,0.6289667086743327,0.9987958356123562
4 to 5 - 4 to 6,0.28103879449492164,0.5516614396447517,0.5094407081921469,0.6104433484186973,0.9987958356123562
