Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,4 to 1,4 to 2,True,True,2.5754814896631455,4.0,two-sided,0.06162076788001091,0.20540255960003637,fdr_bh,1.913,1.5737814957320113,-0.00244117828006829,1.4186997593181103
condition,4 to 1,4 to 3,True,True,1.9631704216536243,4.0,two-sided,0.12111362171917806,0.20884816433660414,fdr_bh,1.193,1.0342679608946337,-0.04876165738437732,1.7433848665283143
condition,4 to 1,4 to 5,True,True,1.9335079099442365,4.0,two-sided,0.12530889860196248,0.20884816433660414,fdr_bh,1.165,0.899121411264921,-0.06713451767849488,1.4228576856741406
condition,4 to 1,4 to 6,True,True,1.5562478967571522,4.0,two-sided,0.19463421502421813,0.2780488786060259,fdr_bh,0.866,1.0014287305973155,-0.3027442214521605,1.3334939554998284
condition,4 to 2,4 to 3,True,True,-3.1562536432638653,4.0,two-sided,0.03430723666481277,0.1889391359949593,fdr_bh,2.903,-1.9100626363076216,-0.8014182250959349,0.6318639741524671
condition,4 to 2,4 to 5,True,True,-2.191739072785325,4.0,two-sided,0.09351038655495778,0.20884816433660414,fdr_bh,1.427,-1.1067966418655708,-1.4116976640808772,0.1540702822242005
condition,4 to 2,4 to 6,True,True,-3.0564890420757127,4.0,two-sided,0.03778782719899186,0.1889391359949593,fdr_bh,2.709,-1.776157603341832,-1.813940810432114,0.1315362103443697
condition,4 to 3,4 to 5,True,True,-0.1593020098636516,4.0,two-sided,0.8811509738112806,0.9339983474934352,fdr_bh,0.402,-0.10078496172502142,-1.3465178496474075,0.4140460986660969
condition,4 to 3,4 to 6,True,True,-0.08814458725032577,4.0,two-sided,0.9339983474934352,0.9339983474934352,fdr_bh,0.399,-0.06469923763862749,-0.9944750147057908,0.8573877755209383
condition,4 to 5,4 to 6,True,True,0.10741702570998417,4.0,two-sided,0.9196303057238883,0.9339983474934352,fdr_bh,0.399,0.05603773582815594,-0.5311825797175982,1.029865104276069
