Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
4 to 1 - 4 to 2,6.664781331045383,4.168713485009752,1.5987621492844792,0.10987346231549755,0.825507712814855
4 to 1 - 4 to 3,6.000729029012877,3.946930179323762,1.5203534788753212,0.12842215991270511,0.8325132957262811
4 to 1 - 4 to 4,5.807979107842318,4.287368027623991,1.3546723935106246,0.17552195719353225,0.8803342035061947
4 to 1 - 4 to 5,0.3065692959222764,4.466890108364301,0.06863148375829126,0.9452829575292443,0.9991461315258331
4 to 1 - 4 to 6,2.2056763617385133,4.545141650985464,0.4852822048483979,0.627476176731919,0.9973274594142723
4 to 2 - 4 to 3,-0.6640523020325055,3.6955166589915196,-0.17969132960524137,0.857394900622064,0.9991461315258331
4 to 2 - 4 to 4,-0.856802223203065,3.9683423546194034,-0.2159093512195823,0.8290584077964767,0.9991461315258331
4 to 2 - 4 to 5,-6.358212035123106,4.084115941745559,-1.5568147735800064,0.11951446859324255,0.8316895297651916
4 to 2 - 4 to 6,-4.459104969306869,4.044187147051414,-1.1025960983427705,0.2702026053633184,0.9412753039691263
4 to 3 - 4 to 4,-0.19274992117055945,3.809787037447843,-0.050593358441284854,0.9596495552454094,0.9991461315258331
4 to 3 - 4 to 5,-5.694159733090601,3.9916823758951767,-1.4265062189006523,0.15372227309090603,0.8650555801596878
4 to 3 - 4 to 6,-3.795052667274364,4.026083237201489,-0.9426165440911962,0.3458770744809121,0.966482241811487
4 to 4 - 4 to 5,-5.501409811920041,4.157442022978772,-1.3232679569583816,0.18574628371905977,0.8803342035061947
4 to 4 - 4 to 6,-3.6023027461038044,4.070981779269023,-0.884873217671494,0.37622501433792954,0.966482241811487
4 to 5 - 4 to 6,1.899107065816237,4.2725723384458805,0.4444879841418962,0.6566898142998809,0.9973274594142723
