Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
4 to 1 - 4 to 2,1.7620449207857165,0.40413780979696945,4.360010070997642,1.3005645823849221e-05,0.00018206364997369094
4 to 1 - 4 to 3,1.2764931017292702,0.418921183559511,3.047096093071967,0.00231063829555489,0.02737798228712407
4 to 1 - 4 to 4,1.080587516496718,0.42470602866583046,2.5443187606525637,0.010949111552801538,0.11405856995625635
4 to 1 - 4 to 5,1.8705291965518283,0.42278872185048477,4.424264650118371,9.677133338881205e-06,0.00014514716757002826
4 to 1 - 4 to 6,1.4543414910404486,0.42985550237270265,3.383326450430019,0.0007161345283457354,0.009269851523821825
4 to 2 - 4 to 3,-0.4855518190564463,0.3870806096106573,-1.254394580872536,0.2096986212897365,0.8074474931569806
4 to 2 - 4 to 4,-0.6814574042889985,0.39262586694397544,-1.7356406229501862,0.08262739839912947,0.5398367967829243
4 to 2 - 4 to 5,0.10848427576611175,0.39158460264958334,0.2770391762905726,0.781750024642643,0.9446181488615939
4 to 2 - 4 to 6,-0.3077034297452679,0.3956145461936889,-0.7777859350869757,0.4366952209458663,0.8993129207021697
4 to 3 - 4 to 4,-0.1959055852325522,0.3937690483000098,-0.49751392619181467,0.6188266848542736,0.9446181488615939
4 to 3 - 4 to 5,0.594036094822558,0.39368106643535045,1.5089272649085081,0.13131737135564991,0.6757431981986004
4 to 3 - 4 to 6,0.1778483893111784,0.3943185343367257,0.4510272123280565,0.6519699363857738,0.9446181488615939
4 to 4 - 4 to 5,0.7899416800551102,0.39906533318585374,1.979479584830829,0.04776203593737893,0.38700783942839795
4 to 4 - 4 to 6,0.3737539745437306,0.39766630846342377,0.9398683433552869,0.3472850971562109,0.8815274753712945
4 to 5 - 4 to 6,-0.4161877055113796,0.3998208883545413,-1.0409353728970885,0.29790554338367947,0.8802230460138926
