Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
4 to 1 - 4 to 2,1.8162422574058061,0.6114761199941477,2.9702586871637586,0.0029754907232117933,0.0408607086125591
4 to 1 - 4 to 3,1.1492234652124254,0.6272208898109009,1.8322467951584036,0.06691465991354106,0.5331955064258618
4 to 1 - 4 to 4,0.7153866139297637,0.6249187152635676,1.144767465682381,0.2523054957845139,0.8961296568421319
4 to 1 - 4 to 5,1.9952125582915379,0.6228639809813646,3.2032877469458816,0.0013586815228920912,0.020187527787117288
4 to 1 - 4 to 6,1.2936700447373046,0.6341463114411661,2.040018244050493,0.0413485086553238,0.39753887743777255
4 to 2 - 4 to 3,-0.6670187921933808,0.6084995251151997,-1.0961697826585852,0.27300448073058137,0.8961296568421319
4 to 2 - 4 to 4,-1.1008556434760424,0.6075003393705093,-1.8121070427989339,0.06996965837740876,0.5331955064258618
4 to 2 - 4 to 5,0.17897030088573174,0.606676635049665,0.2950011431890409,0.7679930064124141,0.9461727549264498
4 to 2 - 4 to 6,-0.5225722126685015,0.6118922977609529,-0.8540264595267941,0.39309032890226003,0.8961296568421319
4 to 3 - 4 to 4,-0.4338368512826617,0.6040727837387554,-0.7181863890598389,0.4726423691483994,0.8961296568421319
4 to 3 - 4 to 5,0.8459890930791125,0.6042474259133264,1.4000706611209657,0.16149215969302677,0.7950895298676199
4 to 3 - 4 to 6,0.14444657952487927,0.6044906340241473,0.23895586034689353,0.8111398096435629,0.9461727549264498
4 to 4 - 4 to 5,1.2798259443617743,0.6040651291015406,2.118688668993905,0.03411678657073414,0.3631750971245683
4 to 4 - 4 to 6,0.578283430807541,0.6049030410979199,0.9559935915645862,0.3390754721739033,0.8961296568421319
4 to 5 - 4 to 6,-0.7015425135542332,0.605404467251774,-1.15879969756232,0.24653784082746144,0.8961296568421319
