Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
4 to 1 - 4 to 2,1.7804799906751216,0.8881769467684809,2.004645580087585,0.045000950172475296,0.4245133229830631
4 to 1 - 4 to 3,1.9921641652406066,0.8805083851018253,2.262515836246381,0.023665551538060603,0.2675432781425235
4 to 1 - 4 to 4,1.1947229961028016,0.8787938194012007,1.3595031846228405,0.1739871940307971,0.7832823697526266
4 to 1 - 4 to 5,-0.2138816005213941,0.8780346373769528,-0.24359130200187273,0.8075473654126242,0.9928719361332099
4 to 1 - 4 to 6,1.329498593431825,0.8720999936538907,1.5244795357256495,0.1273889650971658,0.7066498555865945
4 to 2 - 4 to 3,0.21168417456548494,0.8695885543275478,0.24343026769617518,0.8076720986450672,0.9928719361332099
4 to 2 - 4 to 4,-0.58575699457232,0.8701704138873914,-0.6731520461095828,0.5008505654472892,0.9713531279213677
4 to 2 - 4 to 5,-1.9943615911965158,0.8704899955991463,-2.2910792786582506,0.021958828862317148,0.2671756047963041
4 to 2 - 4 to 6,-0.45098139724329656,0.8752401822826895,-0.5152658737252037,0.606367242609881,0.9759915053801216
4 to 3 - 4 to 4,-0.7974411691378049,0.8686824181589111,-0.9179893048001418,0.35862446518759095,0.9553535709379657
4 to 3 - 4 to 5,-2.2060457657620005,0.8687611352772342,-2.5393007078499426,0.011107430755262326,0.1542603283475876
4 to 3 - 4 to 6,-0.6626655718087815,0.871144320684163,-0.760684029126597,0.4468458163065627,0.9713531279213677
4 to 4 - 4 to 5,-1.4086045966241958,0.8686294153324655,-1.6216404507612217,0.10488035613825275,0.6697742916072398
4 to 4 - 4 to 6,0.13477559732902344,0.8703842525156854,0.15484608888485676,0.876942655705093,0.9928719361332099
4 to 5 - 4 to 6,1.5433801939532192,0.8700742113806113,1.773848912846438,0.07608814495338478,0.5812682067032522
