Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
4 to 1 - 4 to 2,-0.22871993362872567,0.5199767936660815,-0.43986565634235775,0.6600344112460692,0.9954587563839815
4 to 1 - 4 to 3,-0.06943504258400275,0.4948348867432998,-0.14031961861254708,0.8884074642637927,0.9954587563839815
4 to 1 - 4 to 4,1.1037094499523197,0.6159709842618811,1.7918205210183662,0.07316172054749481,0.5981651973471726
4 to 1 - 4 to 5,-0.5744677615123421,0.5552768594596066,-1.0345609613039017,0.30087399339863463,0.9600975907361831
4 to 1 - 4 to 6,0.09799320218543846,0.5010689720611052,0.1955682902941518,0.8449480816471422,0.9954587563839815
4 to 2 - 4 to 3,0.15928489104472293,0.5075440990883473,0.3138345836959411,0.753646676414611,0.9954587563839815
4 to 2 - 4 to 4,1.3324293835810455,0.5953263641931843,2.2381494651035982,0.025211309853461206,0.3005659936736677
4 to 2 - 4 to 5,-0.34574782788361647,0.5445768556854571,-0.6348926221780483,0.5254984492125694,0.9938470635463794
4 to 2 - 4 to 6,0.3267131358141641,0.5039274667532637,0.6483336538870018,0.5167691717162355,0.9938470635463794
4 to 3 - 4 to 4,1.1731444925363224,0.5913943357881986,1.9836924730988146,0.04729013317264341,0.46729273501463425
4 to 3 - 4 to 5,-0.5050327189283393,0.5399348160528531,-0.9353586838876913,0.34960348173070366,0.967979680451782
4 to 3 - 4 to 6,0.1674282447694412,0.4842700070513228,0.345733252796094,0.7295431914696997,0.9954587563839815
4 to 4 - 4 to 5,-1.6781772114646618,0.6106145008666428,-2.748341562610831,0.0059897575494576305,0.08617530119088909
4 to 4 - 4 to 6,-1.0057162477668813,0.5792614967875205,-1.7362042071575647,0.08252773364281607,0.6122762572025143
4 to 5 - 4 to 6,0.6724609636977806,0.5341554248344343,1.2589237746789057,0.20805786554798456,0.9029636398660963
