Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,4 to 1,4 to 2,True,True,0.6666666666666666,1.0,two-sided,0.6256659163780025,0.7820823954725031,fdr_bh,0.629,0.7844645405527362,-0.5977741123373381,0.8380947537628869
condition,4 to 1,4 to 3,True,True,1.4,1.0,two-sided,0.39486308657749297,0.7499999999999993,fdr_bh,0.859,1.697749375254331,-0.24790161645351283,1.1645098531965854
condition,4 to 1,4 to 4,True,True,1.0,1.0,two-sided,0.49999999999999956,0.7499999999999993,fdr_bh,0.73,1.3416407864998738,0.006158993808893287,1.842841660275204
condition,4 to 1,4 to 5,True,True,9.0,1.0,two-sided,0.07044657495455454,0.7499999999999993,fdr_bh,2.118,4.024922359499621,0.16036522412401544,1.7933626260907187
condition,4 to 1,4 to 6,True,True,1.0,1.0,two-sided,0.49999999999999956,0.7499999999999993,fdr_bh,0.73,1.2649110640673518,0.1058460501250782,2.7209513267907575
condition,4 to 2,4 to 3,True,True,3.0,1.0,two-sided,0.20483276469913345,0.7499999999999993,fdr_bh,1.299,0.4685212856658182,-0.39465422831936114,1.3749689477602876
condition,4 to 2,4 to 4,True,True,-0.3333333333333333,1.0,two-sided,0.7951672353008665,0.8519648949652141,fdr_bh,0.553,-0.18569533817705186,-0.09365045348341638,1.664998856120189
condition,4 to 2,4 to 5,True,True,0.7142857142857143,1.0,two-sided,0.605136913422507,0.7820823954725031,fdr_bh,0.642,0.9284766908852594,0.34821719490145187,2.1367289047862945
condition,4 to 2,4 to 6,True,True,0.0,1.0,two-sided,1.0,1.0,fdr_bh,0.523,0.0,-0.7422587852165026,1.1242229936640409
condition,4 to 3,4 to 4,True,True,-2.0,1.0,two-sided,0.2951672353008664,0.7499999999999993,fdr_bh,1.043,-0.8944271909999159,-0.745625455769011,0.9299636843714141
condition,4 to 3,4 to 5,True,True,0.3333333333333333,1.0,two-sided,0.7951672353008665,0.8519648949652141,fdr_bh,0.553,0.4472135954999579,-0.10724209253762984,1.4839508862931352
condition,4 to 3,4 to 6,True,True,-3.0,1.0,two-sided,0.20483276469913345,0.7499999999999993,fdr_bh,1.299,-0.6,-2.2823852392255493,0.28645441943284544
condition,4 to 4,4 to 5,True,True,1.5,1.0,two-sided,0.3743340836219976,0.7499999999999993,fdr_bh,0.891,2.1213203435596424,-0.14548793936194115,1.3070143531869456
condition,4 to 4,4 to 6,True,True,1.0,1.0,two-sided,0.49999999999999956,0.7499999999999993,fdr_bh,0.73,0.2773500981126146,-0.5408749638431285,1.1723289821336051
condition,4 to 5,4 to 6,True,True,-1.0,1.0,two-sided,0.49999999999999956,0.7499999999999993,fdr_bh,0.73,-1.386750490563073,-1.7102038059787381,-0.030304921195770884
