Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,4 to 1,4 to 2,True,True,1.219458431656525,14.0,two-sided,0.24281729249035242,0.3035216156129405,fdr_bh,0.492,0.4183627120262361,-0.10793815544891355,0.8606711689722639
condition,4 to 1,4 to 3,True,True,2.179458156593865,14.0,two-sided,0.04686840427297532,0.11717101068243829,fdr_bh,1.616,0.6801012146812424,0.09701200408933519,1.1505931607180735
condition,4 to 1,4 to 5,True,True,2.7443263486208043,14.0,two-sided,0.015820222022709735,0.05273407340903245,fdr_bh,3.83,0.8849937752217603,0.16521535064296122,1.2825045847263343
condition,4 to 1,4 to 6,True,True,2.787120518066017,14.0,two-sided,0.014544272922856155,0.05273407340903245,fdr_bh,4.1,0.7880247315230459,0.1024397691264064,1.196949285017645
condition,4 to 2,4 to 3,True,True,1.5165225742424728,14.0,two-sided,0.15163875421915174,0.25273125703191957,fdr_bh,0.676,0.39701556654497605,0.10649469521161048,1.0396724025863318
condition,4 to 2,4 to 5,True,True,3.0219000578441078,14.0,two-sided,0.009145665880809624,0.05273407340903245,fdr_bh,5.995,0.6855822819705896,-0.06432582638811546,0.8565517877684425
condition,4 to 2,4 to 6,True,True,2.028565957042438,14.0,two-sided,0.061967996255692236,0.12393599251138447,fdr_bh,1.304,0.5527997664518556,0.11135696202327006,1.0726694999614437
condition,4 to 3,4 to 5,True,True,1.225459797953612,14.0,two-sided,0.24061897651252512,0.3035216156129405,fdr_bh,0.494,0.32067705058848267,-0.4660163997744,0.44439927403915847
condition,4 to 3,4 to 6,True,True,0.8066672507292207,14.0,two-sided,0.4333486766535879,0.48149852961509765,fdr_bh,0.348,0.16650805208746478,-0.36357763297780227,0.5487605985868322
condition,4 to 5,4 to 6,True,True,-0.6102718844965452,14.0,two-sided,0.5514601468318747,0.5514601468318747,fdr_bh,0.309,-0.159180835170302,-0.6461998336025265,0.296938244940379
