Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,4 to 1,4 to 2,True,True,1.2336110366594206,23.0,two-sided,0.22980632906912918,0.38301054844854865,fdr_bh,0.422,0.2490349911246195,-0.17709466913485294,0.6807142659484151
condition,4 to 1,4 to 3,True,True,1.314978195107229,23.0,two-sided,0.2014780001554734,0.37777125029151265,fdr_bh,0.461,0.3324444853086427,-0.16138274347473586,0.6982203436245182
condition,4 to 1,4 to 4,True,True,1.4624849895696683,23.0,two-sided,0.1571395831697414,0.37777125029151265,fdr_bh,0.548,0.4280355443992047,-0.13303987766775693,0.7300968744886345
condition,4 to 1,4 to 5,True,True,-0.3459806385196768,23.0,two-sided,0.7325020797233193,0.8069477163730755,fdr_bh,0.227,-0.09531883925566345,-0.4934121613402625,0.3521661571310087
condition,4 to 1,4 to 6,True,True,-0.8867808824210872,23.0,two-sided,0.38437582407893545,0.5765637361184032,fdr_bh,0.306,-0.20675980261023388,-0.6067212550397189,0.24469447577527412
condition,4 to 2,4 to 3,True,True,0.24719869567169694,23.0,two-sided,0.8069477163730755,0.8069477163730755,fdr_bh,0.221,0.0653170837069049,-0.37207244298941666,0.4729908879022836
condition,4 to 2,4 to 4,True,True,0.5402853317235652,23.0,two-sided,0.5941939712044431,0.8069477163730755,fdr_bh,0.245,0.1490957091519914,-0.3132597183682537,0.5338302814071003
condition,4 to 2,4 to 5,True,True,-1.3316859394258154,23.0,two-sided,0.19601136398486455,0.37777125029151265,fdr_bh,0.47,-0.3352193610206787,-0.7018218476007692,0.15816333939541655
condition,4 to 2,4 to 6,True,True,-1.9585395778651553,23.0,two-sided,0.062401875502531505,0.28339451511916586,fdr_bh,1.094,-0.4511679340184397,-0.838596314634038,0.03902588016477265
condition,4 to 3,4 to 4,True,True,0.3147890011850369,23.0,two-sided,0.7557598742596152,0.8069477163730755,fdr_bh,0.225,0.08774856402009619,-0.35844256984938383,0.4869546414400021
condition,4 to 3,4 to 5,True,True,-1.7230841340092347,23.0,two-sided,0.09829369709005105,0.29488109127015316,fdr_bh,0.773,-0.4209870232512826,-0.7868495553880477,0.08340340335337171
condition,4 to 3,4 to 6,True,True,-2.1953762102849983,23.0,two-sided,0.03849145734768742,0.28339451511916586,fdr_bh,1.601,-0.5484380607653727,-0.8910849418522988,-0.005173642921586008
condition,4 to 4,4 to 5,True,True,-1.8610255877105508,23.0,two-sided,0.07557187069844423,0.28339451511916586,fdr_bh,0.943,-0.5160426076376119,-0.8171119979277188,0.05735148323538036
condition,4 to 4,4 to 6,True,True,-2.6560207945308028,23.0,two-sided,0.014115991243287019,0.21173986864930527,fdr_bh,3.631,-0.6521071588386017,-0.9943871484162682,-0.08992880038740314
condition,4 to 5,4 to 6,True,True,-0.37121344586484045,23.0,two-sided,0.7138760613819098,0.8069477163730755,fdr_bh,0.229,-0.10507671189298909,-0.49864228020646995,0.347095025534949
