Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,from 1,from 2,True,True,-1.1410025383200644,23.0,two-sided,0.2656104926976466,0.8325595999654273,fdr_bh,0.384,-0.14232019301462814,-0.6608572666224737,0.195044930938379
condition,from 1,from 3,True,True,-0.5577348613320924,23.0,two-sided,0.5824138961454618,0.8325595999654273,fdr_bh,0.247,-0.06363179090875785,-0.5374761646620572,0.3097818609911308
condition,from 1,from 4,True,True,-1.224744871391589,23.0,two-sided,0.2330675868876107,0.8325595999654273,fdr_bh,0.418,-0.11335414421702096,-0.678810069592072,0.17881006959207207
condition,from 1,from 5,True,True,-0.5865529143475804,23.0,two-sided,0.5632172552128407,0.8325595999654273,fdr_bh,0.251,-0.08957957313176146,-0.5435031806820037,0.30404395613300733
condition,from 1,from 6,True,True,-0.25696051862877944,23.0,two-sided,0.7994940199007914,0.8325595999654273,fdr_bh,0.221,-0.028974792816799634,-0.47500514498124236,0.3701014525343356
condition,from 2,from 3,True,True,0.7292406375912212,23.0,two-sided,0.4732159203345033,0.8325595999654273,fdr_bh,0.273,0.07567166232651537,-0.275740026835262,0.5734512704686556
condition,from 2,from 4,True,True,0.22352582479865477,23.0,two-sided,0.8250997430884507,0.8325595999654273,fdr_bh,0.22,0.029585866374259563,-0.37685566079482563,0.46810969664340135
condition,from 2,from 5,True,True,0.5264108981916501,23.0,two-sided,0.603642706947245,0.8325595999654273,fdr_bh,0.244,0.06265983318231035,-0.31602691930584415,0.5309332685741319
condition,from 2,from 6,True,True,1.4684175155588413,23.0,two-sided,0.15553542289573852,0.8325595999654273,fdr_bh,0.552,0.12124843292355324,-0.1319037311797201,0.73138267159381
condition,from 3,from 4,True,True,-0.4545454545454546,23.0,two-sided,0.653697251981842,0.8325595999654273,fdr_bh,0.236,-0.04708752541864694,-0.515954489009546,0.3303870842532446
condition,from 3,from 5,True,True,-0.21383555860347558,23.0,two-sided,0.8325595999654273,0.8325595999654273,fdr_bh,0.219,-0.019839517685451145,-0.4661130468205078,0.3788150455802537
condition,from 3,from 6,True,True,0.41429674273976147,23.0,two-sided,0.6824951873205152,0.8325595999654273,fdr_bh,0.232,0.03851048789677274,-0.33844930317109584,0.5075852401393504
condition,from 4,from 5,True,True,0.22751470443728203,23.0,two-sided,0.8220338276213661,0.8325595999654273,fdr_bh,0.22,0.031162794215002725,-0.37604934363453707,0.4689318327764485
condition,from 4,from 6,True,True,0.9105522906265664,23.0,two-sided,0.37197584608043555,0.8325595999654273,fdr_bh,0.312,0.09048201881326459,-0.2400285254731608,0.6117599414994112
condition,from 5,from 6,True,True,0.5489171555600374,23.0,two-sided,0.5883521503998113,0.8325595999654273,fdr_bh,0.246,0.06402985043618774,-0.3115389820399833,0.5356334724036549
