Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,from 1,from 2,True,True,-0.36171967253016124,20.0,two-sided,0.7213549911191103,0.9549433062564909,fdr_bh,0.241,-0.0881109789563973,-0.5212301978105985,0.36684019394116707
condition,from 1,from 3,True,True,-0.1328617727638744,20.0,two-sided,0.8956303826893284,0.9549433062564909,fdr_bh,0.229,-0.023278644263302367,-0.47182211624545656,0.4151064624079829
condition,from 1,from 4,True,True,-0.7963510440251983,20.0,two-sided,0.43517954066078746,0.9062377023453358,fdr_bh,0.302,-0.220910452205484,-0.5194506273522177,0.3270274244415839
condition,from 1,from 5,True,True,0.2143403999352675,20.0,two-sided,0.8324518573721873,0.9549433062564909,fdr_bh,0.232,0.03694130288078892,-0.20165075746697808,0.6752546429847024
condition,from 1,from 6,True,True,-0.5620439359891991,20.0,two-sided,0.5803311843495378,0.9062377023453358,fdr_bh,0.262,-0.09347427416193409,-0.4092995002717243,0.43526201038352424
condition,from 2,from 3,True,True,0.2720043869221287,20.0,two-sided,0.7884068260065487,0.9549433062564909,fdr_bh,0.235,0.06507157417156341,-0.3962390736547501,0.514951520552913
condition,from 2,from 4,True,True,-1.1238540904857097,20.0,two-sided,0.2743839690744978,0.9062377023453358,fdr_bh,0.397,-0.15310596055764214,-0.6892251486751109,0.21015501109470236
condition,from 2,from 5,True,True,0.5267537169848739,20.0,two-sided,0.6041584682302239,0.9062377023453358,fdr_bh,0.258,0.13978564928789816,-0.3417485848800861,0.5716427544688986
condition,from 2,from 6,True,True,-0.0572129567690623,20.0,two-sided,0.9549433062564909,0.9549433062564909,fdr_bh,0.228,-0.013077259491815143,-0.45560334191104146,0.43118003938406335
condition,from 3,from 4,True,True,-0.8899883189799694,20.0,two-sided,0.38405298544351774,0.9062377023453358,fdr_bh,0.324,-0.20268190216226928,-0.5831838764106835,0.3077607166773024
condition,from 3,from 5,True,True,0.5394776070190225,20.0,two-sided,0.5955130522894141,0.9062377023453358,fdr_bh,0.259,0.0635634021555604,-0.225697051445292,0.6720259505387831
condition,from 3,from 6,True,True,-0.7804723286815257,20.0,two-sided,0.4442527162244011,0.9062377023453358,fdr_bh,0.299,-0.07214060922496725,-0.4921238032060786,0.3951475756307933
condition,from 4,from 5,True,True,1.1213763997606334,20.0,two-sided,0.2754117597083476,0.9062377023453358,fdr_bh,0.396,0.2845826302297124,-0.10709632972251637,0.7820527914273029
condition,from 4,from 6,True,True,0.5679618342470649,20.0,two-sided,0.5763823404075228,0.9062377023453358,fdr_bh,0.263,0.1272564373879514,-0.2853874696062222,0.5632025304897015
condition,from 5,from 6,True,True,-1.077603084122252,20.0,two-sided,0.29403747614490816,0.9062377023453358,fdr_bh,0.38,-0.14048462547387708,-0.8031002068163132,0.08890988219819018
