Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,from 1,from 2,True,True,-0.02485959025207305,16.0,two-sided,0.980474370319342,0.980474370319342,fdr_bh,0.249,-0.007002129846659083,-0.4627519189355127,0.5321237847592729
condition,from 1,from 3,True,True,0.1694512955876284,16.0,two-sided,0.8675655716411663,0.9778646282782806,fdr_bh,0.252,0.05172226508966064,-0.42300184869108787,0.5418174506495486
condition,from 1,from 4,True,True,-0.33234239931913523,16.0,two-sided,0.7439449784691037,0.9778646282782806,fdr_bh,0.262,-0.07359920513287745,-0.576507622903897,0.41959824199365914
condition,from 1,from 5,True,True,0.4149597446937903,16.0,two-sided,0.683682219100223,0.9778646282782806,fdr_bh,0.269,0.1371946337770723,-0.41481034360914426,0.6160953856975954
condition,from 1,from 6,True,True,0.2574031826893726,16.0,two-sided,0.8001486534514174,0.9778646282782806,fdr_bh,0.256,0.08660874304959888,-0.4369784290826739,0.5585159525479778
condition,from 2,from 3,True,True,0.1731881686755354,16.0,two-sided,0.864675549327298,0.9778646282782806,fdr_bh,0.252,0.057301588242689494,-0.549419602571507,0.4458238919535049
condition,from 2,from 4,True,True,-0.20693756600776497,16.0,two-sided,0.8386692448447103,0.9778646282782806,fdr_bh,0.254,-0.06422665537390826,-0.5574148250261702,0.4380470935680411
condition,from 2,from 5,True,True,0.4628814297883223,16.0,two-sided,0.6496825970808824,0.9778646282782806,fdr_bh,0.274,0.1401129363713426,-0.4035048039386696,0.628035277721514
condition,from 2,from 6,True,True,0.38681226365379157,16.0,two-sided,0.7039913876113006,0.9778646282782806,fdr_bh,0.266,0.09107989503231394,-0.42146687574333086,0.6090983840173132
condition,from 3,from 4,True,True,-0.5379235095509951,16.0,two-sided,0.5980334845312993,0.9778646282782806,fdr_bh,0.283,-0.12830005981991682,-0.7301780915766216,0.27707924285525026
condition,from 3,from 5,True,True,0.35733407359642333,16.0,two-sided,0.7255114028967588,0.9778646282782806,fdr_bh,0.264,0.08613388296259095,-0.42845086393379855,0.6017833497067737
condition,from 3,from 6,True,True,0.11141412945539661,16.0,two-sided,0.9126736530597286,0.9778646282782806,fdr_bh,0.25,0.03696807147961305,-0.5566178953261923,0.43882088734951963
condition,from 4,from 5,True,True,1.0195308506624192,16.0,two-sided,0.3231204279038803,0.9778646282782806,fdr_bh,0.391,0.21828502081594142,-0.3478942500056963,0.6524307066674482
condition,from 4,from 6,True,True,0.5556281956089889,16.0,two-sided,0.5861511200594094,0.9778646282782806,fdr_bh,0.286,0.16202085813871397,-0.4769244182848051,0.4870509032093084
condition,from 5,from 6,True,True,-0.17271104218070277,16.0,two-sided,0.8650444397795594,0.9778646282782806,fdr_bh,0.252,-0.04576262661828228,-0.6149289586846277,0.38298614600350506
