Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
from 2 - from 3,0.09004019227684369,0.19960867437653854,0.451083564169127,0.6519293229851155,0.9116598949592882
from 2 - from 4,0.3773456591844043,0.1994227672248219,1.8921894648016726,0.058465741546188,0.38242598516536885
from 2 - from 5,0.4960963661823303,0.20067862779203796,2.4720936735546744,0.013432431436201542,0.12648906110776517
from 2 - from 6,0.2752267533878102,0.19629139546380409,1.4021335613692845,0.16087536672945268,0.6839091751902824
from 3 - from 4,0.28730546690756065,0.2004197230740683,1.4335189296783049,0.1517095931558936,0.6839091751902824
from 3 - from 5,0.4060561739054866,0.20074027179659845,2.0227937835858167,0.04309441286622917,0.3272994032518099
from 3 - from 6,0.18518656111096654,0.20014953057495885,0.9252410464265942,0.35484053683878836,0.8267519769841488
from 4 - from 5,0.11875070699792595,0.20098829959087258,0.5908339303315283,0.554631698181145,0.9116598949592882
from 4 - from 6,-0.1021189057965941,0.19983757905202026,-0.5110095222381135,0.6093443890686785,0.9116598949592882
from 5 - from 6,-0.22086961279452005,0.2016284916226105,-1.0954285826227539,0.2733289176974596,0.7973766975215009
