Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
from 2 - from 3,-14.652228508884404,7.083524148875211,-2.068494184665273,0.03859357688518683,0.3193535695496514
from 2 - from 4,-9.873093147105612,7.027343659136033,-1.404953795630858,0.16003501815778876,0.7522067649932693
from 2 - from 5,-6.499323218609435,7.006859449124268,-0.9275658040239032,0.35363284286232544,0.8871773215173588
from 2 - from 6,-0.08449146930183342,7.041473344321271,-0.011999117964420495,0.9904263187680613,0.9904263187680613
from 3 - from 4,4.779135361778792,7.0204812277023265,0.6807418475703145,0.4960348520500353,0.8871773215173588
from 3 - from 5,8.152905290274969,7.055236407759535,1.1555821547394483,0.2478521107817202,0.8189412797462936
from 3 - from 6,14.567737039582571,7.0116050693134655,2.0776608059884576,0.037740611394431856,0.3193535695496514
from 4 - from 5,3.373769928496177,7.013305301422567,0.4810527680595692,0.6304789956996482,0.8871773215173588
from 4 - from 6,9.78860167780378,7.005393342632809,1.3972950838082374,0.1623248535955084,0.7522067649932693
from 5 - from 6,6.414831749307601,7.022920662122863,0.9134136718794356,0.3610250177161425,0.8871773215173588
