Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
from 2 - from 3,-5.236571884622229,2.899383348322477,-1.8060984890638905,0.07090295680985115,0.44474992785836726
from 2 - from 4,-8.193310441847665,2.932463886350703,-2.7940021631583702,0.005206013042985624,0.050857292963889765
from 2 - from 5,-1.9610620654934585,2.9144996021211966,-0.6728640704106398,0.5010337721100075,0.7830365195485112
from 2 - from 6,-4.481497448662918,2.868484462211045,-1.562322371866206,0.11821206426898323,0.5854765836282211
from 3 - from 4,-2.956738557225435,2.9000373830836135,-1.0195518769766794,0.3079410378921481,0.7830365195485112
from 3 - from 5,3.2755098191287706,2.928295043080297,1.118572333368169,0.2633226319586215,0.7830365195485112
from 3 - from 6,0.7550744359593109,2.8749887138404797,0.26263561742844693,0.7928314447472982,0.7928314447472982
from 4 - from 5,6.232248376354206,2.8760939768843996,2.166914025217439,0.03024141032234451,0.24147008078089208
from 4 - from 6,3.711812993184746,2.8462574960091542,1.3041030189254557,0.19219845972384242,0.7221387010960421
from 5 - from 6,-2.5204353831694597,2.85251100127733,-0.8835848072245226,0.37692038336924094,0.7830365195485112
