Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,from 2,from 3,True,True,-0.23588457191140044,6.0,two-sided,0.8213678530585912,0.8635559588355293,fdr_bh,0.362,-0.08684991379997554,-0.6984665406843636,0.7323499288359377
condition,from 2,from 4,True,True,-0.3200910062499274,6.0,two-sided,0.759752664648807,0.8635559588355293,fdr_bh,0.369,-0.1197574687114369,-0.6122125802149334,0.9351089452754231
condition,from 2,from 5,True,True,1.002740557309019,6.0,two-sided,0.3546962907822036,0.5067089868317195,fdr_bh,0.523,0.24791647388662785,-0.31808836354332615,0.9877852326563276
condition,from 2,from 6,True,True,1.6248771702877751,6.0,two-sided,0.15531426860575068,0.3728074102794779,fdr_bh,0.884,0.49474074939416957,-0.6267356643541553,0.7175753985139006
condition,from 3,from 4,True,True,-0.17936370022485523,6.0,two-sided,0.8635559588355293,0.8635559588355293,fdr_bh,0.358,-0.04973489037950354,-0.6120673857041494,0.8226045559464739
condition,from 3,from 5,True,True,1.356744723698529,6.0,two-sided,0.22368444616768673,0.3728074102794779,fdr_bh,0.693,0.3416711382455877,0.1644517400930784,1.5857015655785034
condition,from 3,from 6,True,True,2.1088232735596555,6.0,two-sided,0.07950201540313293,0.3728074102794779,fdr_bh,1.414,0.6061899233853465,-0.170350608390074,1.271500413947812
condition,from 4,from 5,True,True,1.4418133851871329,6.0,two-sided,0.19944324606021965,0.3728074102794779,fdr_bh,0.747,0.3438034165143945,-0.0718271995180626,1.3165132391432266
condition,from 4,from 6,True,True,3.3222917156173835,6.0,two-sided,0.015958825023425688,0.15958825023425688,fdr_bh,4.689,0.5797180070937274,-0.07335489879031154,1.5377416642996318
condition,from 5,from 6,True,True,1.5041260050090701,6.0,two-sided,0.1832473665477794,0.3728074102794779,fdr_bh,0.79,0.22509245684168772,-0.6155960957128753,0.4152845699862956
