Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,from 2,from 3,True,True,2.0053839959973385,20.0,two-sided,0.0586429919407461,0.15297605872977313,fdr_bh,1.206,0.2723034982357019,-0.038878569650278416,0.9140998990894045
condition,from 2,from 4,True,True,1.0683921158427496,20.0,two-sided,0.29807012061834626,0.425814458026209,fdr_bh,0.377,0.13870423293600437,-0.29577061531434656,0.5959599920208543
condition,from 2,from 5,True,True,-0.8336046408522355,20.0,two-sided,0.4143491538443925,0.5179364423054906,fdr_bh,0.31,-0.1275533895560603,-0.6408521735194084,0.2770372814839943
condition,from 2,from 6,True,True,0.380372863316663,20.0,two-sided,0.7076783901996608,0.7076783901996608,fdr_bh,0.243,0.05671938594693708,-0.38468852637611795,0.5028350717499841
condition,from 3,from 4,True,True,-1.4982073409935186,20.0,two-sided,0.1496975267581745,0.2819114358666654,fdr_bh,0.599,-0.13331044300476827,-0.8261470143715083,0.09013442284817164
condition,from 3,from 5,True,True,-3.7462999514050006,20.0,two-sided,0.0012722915389619348,0.012722915389619347,fdr_bh,29.337,-0.4229032922040494,-1.3404326179424548,-0.3132439302904866
condition,from 3,from 6,True,True,-2.0836970521265843,20.0,two-sided,0.050226504907967394,0.15297605872977313,fdr_bh,1.361,-0.20889974389692423,-0.9587735566289987,-0.020390088762644365
condition,from 4,from 5,True,True,-1.983666299831038,20.0,two-sided,0.06119042349190925,0.15297605872977313,fdr_bh,1.167,-0.2770287052929079,-0.787509222630564,0.10236792677696177
condition,from 4,from 6,True,True,-0.6238173810121763,20.0,two-sided,0.5397980624050547,0.5997756248945052,fdr_bh,0.271,-0.0788554106593408,-0.6177347057947764,0.2345078160548615
condition,from 5,from 6,True,True,1.4265068711936488,20.0,two-sided,0.16914686151999922,0.2819114358666654,fdr_bh,0.549,0.18536890545232357,-0.3520630546815819,0.5142220142873006
