Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,from 2,from 3,True,True,0.2660760420950957,20.0,two-sided,0.7929043418335302,0.881004824259478,fdr_bh,0.235,0.04776498218043507,-0.3975154732780936,0.5136405783747634
condition,from 2,from 4,True,True,-0.6115964870763166,20.0,two-sided,0.5476945986990142,0.7824208552843059,fdr_bh,0.269,-0.10038146859995672,-0.5757438849310988,0.31477299146548265
condition,from 2,from 5,True,True,-0.4522670168666454,20.0,two-sided,0.6559437940805405,0.8199297426006755,fdr_bh,0.25,-0.11282661216669075,-0.5549943788138243,0.35760887032589367
condition,from 2,from 6,True,True,-1.1213763997606334,20.0,two-sided,0.2754117597083476,0.7500280873580717,fdr_bh,0.396,-0.2519191972801905,-0.6886710269369896,0.21065405210364646
condition,from 3,from 4,True,True,-1.0639903531978627,20.0,two-sided,0.3000112349432287,0.7500280873580717,fdr_bh,0.375,-0.1508592807638127,-0.6758505930032914,0.22223150431040467
condition,from 3,from 5,True,True,-0.7651030977977968,20.0,two-sided,0.45314458677677116,0.7605930864058776,fdr_bh,0.296,-0.163281926137212,-0.5126599160073128,0.3751379432522516
condition,from 3,from 6,True,True,-1.57735770351584,20.0,two-sided,0.13039979635849033,0.7500280873580717,fdr_bh,0.661,-0.3004263069695248,-0.7200417499913137,0.1825762776546675
condition,from 4,from 5,True,True,-0.06210102116653739,20.0,two-sided,0.9510988164276204,0.9510988164276204,fdr_bh,0.228,-0.013271718627535747,-0.28264555045106277,0.5872191818066883
condition,from 4,from 6,True,True,-0.7595977444385248,20.0,two-sided,0.45635585184352656,0.7605930864058776,fdr_bh,0.295,-0.16426441023995605,-0.5152487041247573,0.33106590407326425
condition,from 5,from 6,True,True,-1.1531001210635077,20.0,two-sided,0.2624648445029582,0.7500280873580717,fdr_bh,0.408,-0.15148907093116998,-0.8170884850819264,0.07690098145890456
