Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,from 2,from 3,True,True,-1.492268733891132,4.0,two-sided,0.2099088727975247,0.34984812132920784,fdr_bh,0.824,-0.2697442581675137,-0.5266034151768642,0.917724661568027
condition,from 2,from 4,True,True,0.788949708707706,4.0,two-sided,0.47427297244193345,0.526969969379926,fdr_bh,0.506,0.18090849940435316,-1.1510275178146425,0.2579745346744373
condition,from 2,from 5,True,True,0.8923596473931589,4.0,two-sided,0.42263222317311416,0.526969969379926,fdr_bh,0.538,0.3569638704625143,-1.0004426273288747,0.19970680515473627
condition,from 2,from 6,True,True,-2.1850353935593354,4.0,two-sided,0.09421292861335408,0.25937011841300617,fdr_bh,1.419,-0.3515640473256501,-0.9981405213112247,0.2518137073761877
condition,from 3,from 4,True,True,4.182650994099025,4.0,two-sided,0.013888565852066201,0.138885658520662,fdr_bh,5.56,0.4831616566311261,-0.9718720189379478,0.7074600922159894
condition,from 3,from 5,True,True,2.5443371930489733,4.0,two-sided,0.06368692707120069,0.25937011841300617,fdr_bh,1.869,0.7007639119311202,-1.1023019185228524,0.47266518197937163
condition,from 3,from 6,True,True,-0.5811269353112114,4.0,two-sided,0.5923262772464606,0.5923262772464606,fdr_bh,0.455,-0.11337340667776417,-0.8792627791659726,0.6625780499044638
condition,from 4,from 5,True,True,0.8655779172582281,4.0,two-sided,0.43554938934831383,0.526969969379926,fdr_bh,0.529,0.18079086129817842,-0.7616831436381483,0.6697856314405622
condition,from 4,from 6,True,True,-2.099190551671441,4.0,two-sided,0.10374804736520248,0.25937011841300617,fdr_bh,1.327,-0.5410255354261556,-0.7126292005065941,0.6315411345899925
condition,from 5,from 6,True,True,-1.7697638751029707,4.0,two-sided,0.15148130126437628,0.30296260252875257,fdr_bh,1.024,-0.7233146704637118,-0.7318964102339892,0.4814212487086945
