Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,from 2,from 3,True,True,-1.0363667674056924,23.0,two-sided,0.3108049720319105,0.8774227667956691,fdr_bh,0.347,-0.2860725474537172,-0.6385086242408806,0.21541366315394672
condition,from 2,from 4,True,True,-0.952052488514525,23.0,two-sided,0.35096910671826764,0.8774227667956691,fdr_bh,0.323,-0.22370813779495033,-0.6205681045906265,0.23189430372270517
condition,from 2,from 5,True,True,-1.3172152903444454,23.0,two-sided,0.20073923676871555,0.8774227667956691,fdr_bh,0.462,-0.2468706575891582,-0.698702434583651,0.1609515441276702
condition,from 2,from 6,True,True,-1.1663772000335262,23.0,two-sided,0.25541424147277825,0.8774227667956691,fdr_bh,0.393,-0.14067852259633604,-0.6662908812982963,0.19011938334858214
condition,from 3,from 4,True,True,0.3022681452243174,23.0,two-sided,0.7651642056894155,0.9061337251732843,fdr_bh,0.224,0.06945079262694707,-0.36096442879106894,0.4843648823405792
condition,from 3,from 5,True,True,0.2360016098705867,23.0,two-sided,0.8155203526559559,0.9061337251732843,fdr_bh,0.22,0.05697523677403338,-0.3743342548299699,0.47068150860635644
condition,from 3,from 6,True,True,0.5451451121282397,23.0,two-sided,0.590901502074026,0.9061337251732843,fdr_bh,0.246,0.14922543438902475,-0.3122908512504814,0.5348454113315662
condition,from 4,from 5,True,True,-0.08093726098937712,23.0,two-sided,0.9361920278703553,0.9361920278703553,fdr_bh,0.215,-0.0157368716028433,-0.43881302908421044,0.4057705306504697
condition,from 4,from 6,True,True,0.3354710810413597,23.0,two-sided,0.7403105176815941,0.9061337251732843,fdr_bh,0.226,0.08273237575359085,-0.35427994809972996,0.4912354434349291
condition,from 5,from 6,True,True,0.4783410781309267,23.0,two-sided,0.6369230041956699,0.9061337251732843,fdr_bh,0.238,0.10145325007505442,-0.32562724447132424,0.5209091718769162
