Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
1 to 2 - 2 to 3,7.241094110720252,6.264540646942788,1.1558858851453124,0.24772783681079114,0.897434823172568
1 to 2 - 3 to 4,3.5321577504756703,6.355688807646675,0.5557474346802584,0.5783835245133466,0.9602090611489991
1 to 2 - 4 to 5,-6.814367598360106,6.611601099557283,-1.0306682898362396,0.3026963999001768,0.897434823172568
1 to 2 - 5 to 6,1.6695455755514783,7.785332441846793,0.21444756380312488,0.8301980537224714,0.9650950185887299
2 to 3 - 3 to 4,-3.7089363602445817,6.24809485888786,-0.5936107636023886,0.5527724802134211,0.9602090611489991
2 to 3 - 4 to 5,-14.055461709080358,6.602408453000756,-2.128838560827335,0.03326761937698319,0.2870441203196535
2 to 3 - 5 to 6,-5.571548535168773,7.803598858601135,-0.7139716733424613,0.475244695618116,0.9602090611489991
3 to 4 - 4 to 5,-10.346525348835776,6.690773273244227,-1.5463870805801412,0.12201111242160434,0.6899718184762578
3 to 4 - 5 to 6,-1.862612174924192,7.8811735616565315,-0.23633690596362053,0.8131712511114253,0.9650950185887299
4 to 5 - 5 to 6,8.483913173911585,7.716377451490412,1.0994684004568651,0.2715638098516826,0.897434823172568
