Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,1 to 2,2 to 3,True,True,-0.20759035870231557,23.0,two-sided,0.8373759249360446,0.9150848833901083,fdr_bh,0.219,-0.04377712523982437,-0.4648266795253094,0.380078270468309
condition,1 to 2,3 to 4,True,True,0.698926724996325,23.0,two-sided,0.4916057098261907,0.7406612013062142,fdr_bh,0.268,0.15203781602974703,-0.28173840337349076,0.567074044012747
condition,1 to 2,4 to 5,True,True,0.5334852393248218,23.0,two-sided,0.5988159494468205,0.7485199368085256,fdr_bh,0.244,0.13372756012090597,-0.31461576019292503,0.5324101971349884
condition,1 to 2,5 to 6,True,True,-0.90364154803621,23.0,two-sided,0.37555318861980913,0.7406612013062142,fdr_bh,0.31,-0.22364731723889542,-0.6102946119777042,0.2413844947998027
condition,2 to 3,3 to 4,True,True,0.8823046743962873,23.0,two-sided,0.38674061937156134,0.7406612013062142,fdr_bh,0.305,0.18539351283275562,-0.24557362697725327,0.6057730019678128
condition,2 to 3,4 to 5,True,True,0.6557951775395036,23.0,two-sided,0.5184628409143499,0.7406612013062142,fdr_bh,0.261,0.1680669688844737,-0.2902868003686767,0.5580140604936246
condition,2 to 3,5 to 6,True,True,-1.0270759567641667,23.0,two-sided,0.31506583697698054,0.7406612013062142,fdr_bh,0.344,-0.1660346330413179,-0.6365287399293029,0.2172267364037953
condition,3 to 4,4 to 5,True,True,-0.10780552550288884,23.0,two-sided,0.9150848833901083,0.9150848833901083,fdr_bh,0.216,-0.01713824701180874,-0.44431979450304576,0.400308373013933
condition,3 to 4,5 to 6,True,True,-1.911363888780971,23.0,two-sided,0.06849787357384954,0.5693793187364281,fdr_bh,1.017,-0.36594714697607283,-0.8281931920090655,0.04788215195987272
condition,4 to 5,5 to 6,True,True,-1.6435271144570522,23.0,two-sided,0.11387586374728563,0.5693793187364281,fdr_bh,0.693,-0.3470016486262761,-0.769465265834993,0.0984981310268957
