Contrast,A,B,Paired,Parametric,dof,alternative,p-adjust,BF10,ci_lower,ci_upper
condition,1 to 2,2 to 3,True,True,0.0,two-sided,fdr_bh,nan,-4.074018760768952,2.0427384138324873
condition,1 to 2,3 to 4,True,True,0.0,two-sided,fdr_bh,nan,-2.7145731562252977,2.305416541268974
condition,1 to 2,4 to 5,True,True,0.0,two-sided,fdr_bh,nan,-2.401981520233292,2.5756505848575566
condition,1 to 2,5 to 6,True,True,0.0,two-sided,fdr_bh,nan,-8.96566794651412,9.837045625193248
condition,2 to 3,3 to 4,True,True,0.0,two-sided,fdr_bh,nan,-9.468973551070745,8.882514568930413
condition,2 to 3,4 to 5,True,True,0.0,two-sided,fdr_bh,nan,-8.894860876220884,9.1440032482071
condition,2 to 3,5 to 6,True,True,0.0,two-sided,fdr_bh,nan,-10.07247470973689,12.123296798865573
condition,3 to 4,4 to 5,True,True,0.0,two-sided,fdr_bh,nan,-2.0793621806632943,3.415000937721254
condition,3 to 4,5 to 6,True,True,0.0,two-sided,fdr_bh,nan,-3.0098935056620664,9.620993882378361
condition,4 to 5,5 to 6,True,True,0.0,two-sided,fdr_bh,nan,-8.93666242301602,9.046060601919287
