Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,1 to 2,2 to 3,True,True,-1.1053837712329293,23.0,two-sided,0.2804225907380533,0.5608451814761066,fdr_bh,0.37,-0.23455927322540798,-0.6532392078877998,0.2019681729754585
condition,1 to 2,3 to 4,True,True,-2.4842838573585975,23.0,two-sided,0.02069849299949396,0.2069849299949396,fdr_bh,2.647,-0.5633977590141257,-0.95569116707819,-0.05851347071542873
condition,1 to 2,4 to 5,True,True,-1.3467676838358487,23.0,two-sided,0.19117688111409104,0.4779422027852276,fdr_bh,0.478,-0.3727096098015326,-0.7050748499741898,0.15525924539622815
condition,1 to 2,5 to 6,True,True,-0.8861102248496994,23.0,two-sided,0.38472953281866396,0.6174414631475691,fdr_bh,0.306,-0.2051329110832597,-0.6065791700106591,0.24482618555322008
condition,2 to 3,3 to 4,True,True,-1.43315931132521,23.0,two-sided,0.1652665254366253,0.4779422027852276,fdr_bh,0.529,-0.3273005449597438,-0.7237451818177175,0.1386603430068334
condition,2 to 3,4 to 5,True,True,-0.7328343147929728,23.0,two-sided,0.4710628764205351,0.6174414631475691,fdr_bh,0.274,-0.19388087767866932,-0.5742078102556478,0.27502945404816026
condition,2 to 3,5 to 6,True,True,0.08121160805782669,23.0,two-sided,0.9359762374762196,0.9359762374762196,fdr_bh,0.215,0.023882007397932208,-0.40571472544702425,0.43886922560245323
condition,3 to 4,4 to 5,True,True,0.1886071599893224,23.0,two-sided,0.8520550238157051,0.9359762374762196,fdr_bh,0.218,0.057444404687196145,-0.3839201311378971,0.4609186817727822
condition,3 to 4,5 to 6,True,True,1.427945997322953,23.0,two-sided,0.16674600448972557,0.4779422027852276,fdr_bh,0.526,0.3439511491861931,-0.13966025328670584,0.7226167655685172
condition,4 to 5,5 to 6,True,True,0.6951045145468475,23.0,two-sided,0.4939531705180553,0.6174414631475691,fdr_bh,0.267,0.20973193196597265,-0.2824952897004259,0.5662705194578898
