Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,1 to 2,2 to 3,True,True,-0.10877145277005026,1.0,two-sided,0.9310251087993613,0.9310251087993613,fdr_bh,0.526,-0.15337149741216907,-0.8760693317360606,0.6655203400411336
condition,1 to 2,3 to 4,True,True,5.726268494868055,1.0,two-sided,0.1100653970594776,0.697480287320582,fdr_bh,1.768,0.1844001177619475,-1.0194905561231602,0.6655890217904725
condition,1 to 2,4 to 5,True,True,2.0527140567745787,1.0,two-sided,0.28859430593787266,0.697480287320582,fdr_bh,1.058,1.262461313313397,-0.980704179225962,1.5529370673252219
condition,1 to 2,5 to 6,True,True,3.5611664343056995,1.0,two-sided,0.1742789640396414,0.697480287320582,fdr_bh,1.418,0.6886638250477313,-1.1458981746938963,1.343481648266703
condition,2 to 3,3 to 4,True,True,0.22706791654920377,1.0,two-sided,0.8578543650400801,0.9310251087993613,fdr_bh,0.537,0.3206489915415758,-1.0772171813409535,1.0220532473981856
condition,2 to 3,4 to 5,True,True,1.0376572000969853,1.0,two-sided,0.48823620112440735,0.697480287320582,fdr_bh,0.742,1.2912859155164778,-1.105186188151115,2.390394895663106
condition,2 to 3,5 to 6,True,True,0.571410009531285,1.0,two-sided,0.6695102270967146,0.8368877838708932,fdr_bh,0.604,0.7903941355328501,-2.3899217328881335,2.5908776035493544
condition,3 to 4,4 to 5,True,True,1.5331686518262808,1.0,two-sided,0.36793508691495524,0.697480287320582,fdr_bh,0.902,0.9700010746231496,-0.8238233553209147,3.7778443295391853
condition,3 to 4,5 to 6,True,True,2.064191943312698,1.0,two-sided,0.2871990864214976,0.697480287320582,fdr_bh,1.061,0.4620798025346742,-1.022062726971538,1.4958669142505099
condition,4 to 5,5 to 6,True,True,-1.157445501830126,1.0,two-sided,0.4536231402504789,0.697480287320582,fdr_bh,0.781,-0.5673922845376654,-2.7977615082092484,2.2596344118293255
