Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
1 to 2 - 2 to 3,0.04064996747999207,0.4745759685291895,0.08565534324457019,0.9317404025279543,0.9809349967790273
1 to 2 - 3 to 4,0.22361288395836984,0.46204807133689973,0.4839602150299287,0.628414104605157,0.9809349967790273
1 to 2 - 4 to 5,1.1781500125991098,0.4675985937758346,2.5195756109649707,0.011749640214967272,0.11147467386966173
1 to 2 - 5 to 6,0.9066442876460231,0.5784726085598458,1.5673072056137405,0.11704290193562095,0.5816139310752471
2 to 3 - 3 to 4,0.18296291647837776,0.46629484092438206,0.3923760256829614,0.6947803974281523,0.9809349967790273
2 to 3 - 4 to 5,1.1375000451191177,0.47414725430231364,2.3990438303663657,0.016437946958555383,0.13857815038275353
2 to 3 - 5 to 6,0.8659943201660311,0.5778804147071533,1.498570116111103,0.133985190153461,0.5816139310752471
3 to 4 - 4 to 5,0.9545371286407399,0.46452799830099795,2.054853813186591,0.03989312668161582,0.2779676931393968
3 to 4 - 5 to 6,0.6830314036876532,0.5675002474604353,1.2035790411444227,0.22875232429161918,0.7271214861836027
4 to 5 - 5 to 6,-0.27150572495308667,0.5848993207045372,-0.46419223846258867,0.6425100215000294,0.9809349967790273
