Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
1 to 2 - 2 to 3,14.172421534206913,10.367127783533848,1.3670538099006584,0.17160843976168305,0.6768426831436356
1 to 2 - 3 to 4,-11.054961953899227,10.691967043471674,-1.033950245913748,0.3011594235548354,0.8333172847862313
1 to 2 - 4 to 5,-20.060113514256066,10.678231293458769,-1.878598895544098,0.06029928208071733,0.3529662857363302
1 to 2 - 5 to 6,-11.960874498181788,12.93894586606604,-0.9244087286546763,0.35527355185729537,0.8333172847862313
2 to 3 - 3 to 4,-25.227383488106142,10.462488058249942,-2.4112222014163924,0.015899158730830143,0.13432190642100414
2 to 3 - 4 to 5,-34.23253504846298,10.64133777056198,-3.2169390528287987,0.0012956611948347074,0.01288132915959273
2 to 3 - 5 to 6,-26.1332960323887,13.059504419369231,-2.001094007336836,0.045382260037099,0.3103384626897404
3 to 4 - 4 to 5,-9.00515156035684,10.940566827436928,-0.8230973497436693,0.4104526358131486,0.8333172847862313
3 to 4 - 5 to 6,-0.9059125442825611,13.362404959055283,-0.06779562115191341,0.9459483295587894,0.9459483295587894
4 to 5 - 5 to 6,8.099239016074279,12.868003638259017,0.6294091332080218,0.5290812401953373,0.8333172847862313
