Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,1 to 2,2 to 3,True,True,-0.20908593830020406,9.0,two-sided,0.8390369760326241,0.8390369760326241,fdr_bh,0.315,-0.0490049586060051,-0.7895101208188773,0.19548884224688284
condition,1 to 2,3 to 4,True,True,-1.1129450007975046,9.0,two-sided,0.2945732725611237,0.4478679423812124,fdr_bh,0.509,-0.20175615353304538,-0.44464841966126817,0.4657660395997076
condition,1 to 2,4 to 5,True,True,1.514698746247835,9.0,two-sided,0.16414918823183022,0.4478679423812124,fdr_bh,0.745,0.47271421721948115,-0.02632056994541626,0.9593184998409638
condition,1 to 2,5 to 6,True,True,1.0976175747436963,9.0,two-sided,0.3008680450907904,0.4478679423812124,fdr_bh,0.503,0.35098273323813406,-0.37049488209869474,1.0066932400118556
condition,2 to 3,3 to 4,True,True,-0.62445044411789,9.0,two-sided,0.5478328959316452,0.6847911199145564,fdr_bh,0.364,-0.1669784027631033,-0.3286465444078587,0.5854883525804437
condition,2 to 3,4 to 5,True,True,1.3947239936450522,9.0,two-sided,0.1965626171473647,0.4478679423812124,fdr_bh,0.66,0.5371501170498449,0.038767786180044284,1.0406426088672558
condition,2 to 3,5 to 6,True,True,1.0675812181801165,9.0,two-sided,0.3135075596668487,0.4478679423812124,fdr_bh,0.491,0.40705734267697324,-0.24485346902064947,1.0801402009554957
condition,3 to 4,4 to 5,True,True,1.9100872325186755,9.0,two-sided,0.08844925315347922,0.4478679423812124,fdr_bh,1.154,0.6376748237275751,0.08226468917994734,1.0646532239899078
condition,3 to 4,5 to 6,True,True,1.5226155099870562,9.0,two-sided,0.16218557380782417,0.4478679423812124,fdr_bh,0.751,0.5139675790413651,-0.08839440273083266,1.2927467771179804
condition,4 to 5,5 to 6,True,True,-0.3339590555754712,9.0,two-sided,0.7460603463863298,0.8289559404292552,fdr_bh,0.324,-0.0964034649249404,-0.6497613037665089,0.6940214746210156
