Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,1 to 2,2 to 3,True,True,-1.3030899632009734,15.0,two-sided,0.21219316422213763,0.5637010419000517,fdr_bh,0.524,-0.2549441140622577,-0.575065560677096,0.2742240821629581
condition,1 to 2,3 to 4,True,True,-1.1163163750340093,15.0,two-sided,0.28185052095002583,0.5637010419000517,fdr_bh,0.436,-0.17466025927122797,-0.49860115242266223,0.3471348602641484
condition,1 to 2,4 to 5,True,True,-1.4086804988161126,15.0,two-sided,0.1793204623214927,0.5637010419000517,fdr_bh,0.587,-0.41177447158922587,-0.5172535864198089,0.3291381353431294
condition,1 to 2,5 to 6,True,True,0.3636392179244643,15.0,two-sided,0.7212016866691684,0.7397228172560439,fdr_bh,0.271,0.10632293730735878,-0.4430524194936887,0.6248720284559208
condition,2 to 3,3 to 4,True,True,0.33843943617126687,15.0,two-sided,0.7397228172560439,0.7397228172560439,fdr_bh,0.269,0.053740935346441206,-0.34296660846012045,0.5029085071568734
condition,2 to 3,4 to 5,True,True,-0.6663955140593043,15.0,two-sided,0.5152778067971642,0.6440972584964552,fdr_bh,0.31,-0.16828089172993665,-0.42125800188932777,0.42326814439759436
condition,2 to 3,5 to 6,True,True,1.1515135473932154,15.0,two-sided,0.26754547158036873,0.5637010419000517,fdr_bh,0.45,0.28664970895892655,-0.2559120470307477,0.8316688207273555
condition,3 to 4,4 to 5,True,True,-0.8202665768197089,15.0,two-sided,0.424907803865592,0.6070111483794172,fdr_bh,0.343,-0.20677751217167764,-0.4737214491645896,0.37135738299774657
condition,3 to 4,5 to 6,True,True,0.9277265847825406,15.0,two-sided,0.36823767910436844,0.6070111483794172,fdr_bh,0.371,0.2288406300942369,-0.30804916504079405,0.7719124574320643
condition,4 to 5,5 to 6,True,True,2.251569537608321,15.0,two-sided,0.03976791394581522,0.3976791394581522,fdr_bh,1.797,0.40782441371626466,-0.010627953647923571,1.136412722452084
