Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,1 to 2,2 to 3,True,True,-0.1515873457919734,6.0,two-sided,0.8844808964229063,0.8844808964229063,fdr_bh,0.357,-0.04652421051992376,-0.48273288178938745,0.6746890485993653
condition,1 to 2,3 to 4,True,True,-1.1585486628141535,6.0,two-sided,0.29066453932611447,0.5643420403674436,fdr_bh,0.588,-0.5251232032208049,-0.8659489992627125,0.3616955129257638
condition,1 to 2,4 to 5,True,True,-2.7157203300931947,6.0,two-sided,0.03484024777249543,0.34840247772495425,fdr_bh,2.596,-1.487481650108723,-1.2676735410330056,0.04842339683952446
condition,1 to 2,5 to 6,True,True,-1.1451449539053806,6.0,two-sided,0.29576362066039724,0.5643420403674436,fdr_bh,0.582,-0.7015126368530111,-1.33356762445642,0.42298737606979375
condition,2 to 3,3 to 4,True,True,-0.7699059774092508,6.0,two-sided,0.4705715015898856,0.6393398788921795,fdr_bh,0.448,-0.4045750905705365,-0.9882565605851321,0.20948162673366993
condition,2 to 3,4 to 5,True,True,-1.9504702933715954,6.0,two-sided,0.0989943991718655,0.4949719958593275,fdr_bh,1.209,-1.0699160221147916,-1.625599374645231,-0.1895432278531336
condition,2 to 3,5 to 6,True,True,-1.1348099695575244,6.0,two-sided,0.29974680076951044,0.5643420403674436,fdr_bh,0.577,-0.5536834380258031,-1.415037915883816,0.3679103450746164
condition,3 to 4,4 to 5,True,True,-1.0395722686345232,6.0,two-sided,0.33860522422046613,0.5643420403674436,fdr_bh,0.537,-0.585742758001873,-0.7225703119994374,0.4900931513563524
condition,3 to 4,5 to 6,True,True,-0.31137618438976383,6.0,two-sided,0.766049692169806,0.8511663246331178,fdr_bh,0.368,-0.15146142441740218,-1.0457318061330168,0.8103535352520146
condition,4 to 5,5 to 6,True,True,0.6977175760656458,6.0,two-sided,0.5114719031137436,0.6393398788921795,fdr_bh,0.43,0.3971325795175774,-0.44372480430407896,1.1394338637607309
